[00:00-00:01] 好 好 好
[00:01-00:03] 下一个节目是
[09:44-09:45] 孩子
[09:46-09:47] 抢劫呢
[09:47-09:48] 是不对的
[09:48-09:49] 这样
[09:49-09:51] 叔叔这儿有两千块钱
[09:51-09:52] 这事儿是什么
[09:52-09:53] 叔叔这儿有两千块钱
[09:53-09:55] 这是叔叔自己的
[09:55-09:57] 但叔叔答应你
[09:57-10:00] 一定把你爸爸的病抢走
[10:01-10:02] 对不起
[10:04-10:05] 快谢谢叔叔
[10:05-10:06] 谢谢叔叔
[10:06-10:07] 没事没事
[10:07-10:09] 多好的孩子
[10:09-10:11] 你爸爸得了什么病啊
[10:11-10:12] 假勾眼
[10:12-10:13] 假勾眼
[10:20-10:21] 这假勾眼用不上两千
[10:21-10:22] 干啥去
[10:22-10:23] 这这这
[10:23-10:24] 你干啥玩
[10:26-10:27] 啥意思
[10:30-10:31] 吓我是吧
[10:37-10:38] 哥来还得收
[10:52-10:53] 放下
[10:53-10:54] 放下
[10:59-11:00] 过去
[11:01-11:02] 过去
[11:22-11:23] 谢谢你
[11:23-11:27] 劫匪箱
[11:29-11:30] 太好了
[11:30-11:32] 终于不用改了
[11:32-11:33] 买不了买不了
[11:33-11:34] 不用打卡了
[11:34-11:35] 我有新店贵了
[11:35-11:37] 到时把老板装走就好了
[11:41-11:42] 近日我是警方
[11:42-11:44] 破获了一级银行抢劫案
[11:44-11:46] 劫匪抢走的物品有
[11:46-11:47] 主要主要有一些
[11:47-11:48] 电器
[11:48-11:49] 还有暑假作业等
[11:49-11:50] 至今物人人灵
[11:50-11:53] 请如有遗失以上物品的市民
[11:53-11:55] 请尽快与警方联系
[11:55-11:57] 尽快与警方联系
[11:59-12:00] 下一个作品是
[12:00-12:02] 《质子的愿望》
[12:09-12:11] 乱世纷争
[12:11-12:13] 诸魂的灵魂
[12:13-12:15] 乱世纷争
[12:15-12:17] 诸魂争霸
[12:17-12:22] 秦 楚 燕 韩 鲁 安 项
[12:22-12:23] 七国兼并
[12:23-12:25] 愈演愈烈
[12:25-12:28] 随着秦国日渐强大
[12:28-12:29] 其余诸国
[12:29-12:32] 纷纷派质子到秦国
[12:32-12:35] 学习 交流
[12:35-12:37] 以此换取
[12:37-12:40] 片落 骨合并
[12:43-12:46] 为父王献舞
[12:46-12:49] 为父王献舞
[12:56-12:58] 太好了 孩子们
[12:58-13:00] 来 讲一根
[13:00-13:01] 秦王肯定能喜欢
[13:01-13:03] 你整根粗的
[13:03-13:04] 来 讲一根
[13:04-13:05] 素儿大
[13:05-13:07] 不要在这儿疯了
[13:07-13:08] 你这种人
[13:08-13:09] 你这种人
[13:09-13:10] 你这种人
[13:10-13:11] 你这种人
[13:11-13:12] 不是啦 这个
[13:12-13:14] 不要在这儿发地瓜杆了
[13:15-13:16] 我们各国质子
[13:16-13:17] 正在排练舞蹈
[13:17-13:19] 准备献给秦王
[13:19-13:20] 你是干啥的
[13:20-13:21] 你是干啥的
[13:21-13:23] 我是鲁国质子
[13:23-13:25] 公子雷
[13:25-13:28] 我乃韩国君主
[13:28-13:29] 父亲
[13:29-13:30] 干啥
[13:30-13:31] 父
[13:32-13:33] 父亲
[13:33-13:34] 您怎么来了
[13:34-13:35] 儿啊
[13:35-13:36] 我刚去看过秦王
[13:36-13:37] 顺路过来看看你
[13:37-13:38] 你长高了
[13:38-13:39] 是啊
[13:39-13:40] 弟兄们
[13:40-13:41] 我随我父亲聊几句
[13:41-13:43] 大家先休息会儿
[13:44-13:45] 我跟你有什么看比了
[13:45-13:47] 你滚一边吃
[13:51-13:52] 父亲 不用再发了
[13:52-13:53] 不要再发地瓜杆了
[13:53-13:55] 孩子们太热情了
[13:55-13:56] 是啊
[13:56-13:57] 你看看你
[13:57-13:58] 一身的臭汗
[13:58-13:59] 快去洗个澡吧
[13:59-14:00] 不用 父亲
[14:00-14:01] 我随你四处转转
[14:01-14:02] 你就洗你的吧
[14:02-14:03] 没事 我晚上洗就可以了
[14:03-14:04] 不用管我 你就洗吧
[14:04-14:05] 我晚上就行
[14:05-14:06] 洗吧
[14:09-14:11] 爸 你是不是骂人了
[14:14-14:17] 爸是说不洗就不洗吧
[14:19-14:21] 你是不是怕父亲
[14:21-14:22] 当着这群质子的面
[14:22-14:24] 揭你老底呀
[14:24-14:25] 那怎么会呢
[14:25-14:27] 这些都是我最好的兄弟
[14:27-14:28] 跟他们没有什么不能说的
[14:28-14:30] 啥也不能说
[14:32-14:34] 我的事如果让这些人知道了
[14:34-14:35] 全天下都知道了
[14:35-14:37] 所以我才不敢说
[14:37-14:38] 我都知道了
[14:38-14:39] 全天下都知道了
[14:39-14:40] 所以什么都不能说
[14:40-14:41] 好好好
[14:41-14:42] 没说吗
[14:42-14:43] 啥也没说
[14:43-14:44] 那就好
[14:44-14:45] 晚饭吃啥呀
[14:45-14:47] 王妞妞
[14:50-14:51] 说了
[14:51-14:52] 乳名说了
[14:52-14:53] 吃啥不重要
[14:53-14:54] 主要是水别喝太多
[14:54-14:57] 要不妞妞晚上妞看
[14:58-15:00] 又说了 我的天
[15:00-15:01] 弟兄们
[15:01-15:02] 咱俩换个地方休息
[15:02-15:03] 这孩子不要这么快
[15:03-15:04] 他说的不一定是他性口胡争
[15:04-15:06] 你这小秘密
[15:07-15:08] 弟兄们
[15:08-15:09] 爸
[15:09-15:11] 我就上个厕所工夫
[15:11-15:13] 你把我所有事全说了
[15:13-15:14] 没全说
[15:14-15:16] 那你永久落水儿童
[15:16-15:18] 那个最该说了
[15:18-15:19] 爸 下回说
[15:19-15:20] 爸 下回一定说
[15:21-15:22] 爸
[15:22-15:24] 我在这立的是硬汉人设
[15:24-15:25] 让你一个王妞妞
[15:25-15:27] 就全给我干没了
[15:27-15:28] 再加上
[15:28-15:29] 我每天晚上成熟成熟
[15:29-15:30] 我不睡觉
[15:30-15:31] 帮帮练肌肉
[15:31-15:32] 这不全白练了吗
[15:32-15:33] 你看
[15:33-15:34] 是不是抓着你了
[15:34-15:35] 那人都睡觉
[15:35-15:36] 我叫你帮帮你练肌肉
[15:37-15:38] 睡不着
[15:38-15:39] 我就知道你睡不着
[15:39-15:40] 我把你小时候
[15:40-15:42] 最喜欢的玩偶拿来了
[15:42-15:43] 你拿他干啥
[15:43-15:44] 小时候我不在家
[15:44-15:45] 都是他陪你
[15:45-15:46] 我都这么大了
[15:46-15:47] 我肯定不能
[15:47-15:48] 你爹喜欢他了 你看看
[15:52-15:54] 你可别整我了 爸
[15:54-15:56] 儿啊 我没有别的想法
[15:56-15:58] 我就是说你出门在外
[15:58-16:00] 你不必洋装坚强
[16:00-16:01] 我能不坚强
[16:03-16:04] 秦王把我们凑到一起
[16:04-16:06] 就是为了从我们这群人当中
[16:06-16:07] 挑选一个团长
[16:07-16:08] 我能不坚强吗
[16:09-16:10] 团长 当官是吧
[16:10-16:11] 那
[16:11-16:12] 那是 那
[16:12-16:13] 那很重要啊
[16:13-16:15] 因为你当上这个团长了
[16:15-16:16] 你就能在这个秦国
[16:16-16:17] 更加的安全
[16:17-16:18] 今天无论如何
[16:18-16:19] 父亲也要帮你
[16:20-16:21] 那倒不用您帮
[16:21-16:22] 公子放
[16:22-16:23] 干啥
[16:24-16:25] 别跟人家喊
[16:26-16:27] 想上位
[16:27-16:28] 先示弱
[16:28-16:29] 听爹的准没错
[16:30-16:31] 示弱
[16:31-16:32] 都示大弱都得
[16:32-16:33] 真的示弱吗
[16:35-16:36] 公子放
[16:36-16:37] 您
[16:37-16:38] 您有何事
[16:39-16:40] 公子放
[16:40-16:42] 听说你对团长这个名号
[16:42-16:43] 很感兴趣
[16:43-16:44] 真有此事啊
[16:44-16:45] 他完全没有
[16:45-16:46] 他绝无此事
[16:46-16:47] 你想多了
[16:47-16:48] 您多心了
[16:48-16:49] 他很崇拜你的
[16:49-16:50] 他很尊敬你的
[16:50-16:51] 我亲哥为君
[17:00-17:01] 这是失望
[17:01-17:02] 最快了
[17:02-17:03] 你最
[17:03-17:04] 哥们儿
[17:04-17:05] 你别过来
[17:07-17:08] 我再问你一次
[17:08-17:09] 这第一你到底当是不当
[17:09-17:10] 你别惹我生气
[17:10-17:11] 别生气
[17:11-17:12] 孩子 来整一个人
[17:12-17:13] 别整一个人
[17:14-17:15] 公子苗
[17:15-17:17] 这个团长我当定了
[17:17-17:18] 您想咋的
[17:18-17:19] 没想咋的
[17:20-17:21] 放哥
[17:21-17:22] 本来我心里边
[17:22-17:23] 我挺崇敬你的
[17:23-17:25] 我觉得咱们这个小团体里边
[17:25-17:26] 只有你有能力
[17:26-17:27] 能跟那个跋扈的公子雷
[17:27-17:28] 斗上一斗
[17:28-17:29] 刚才我也不知道
[17:29-17:30] 您怎么说
[17:30-17:31] 刚才我也不知道
[17:31-17:32] 您咋回事
[17:32-17:33] 反正
[17:33-17:34] 加油吧
[17:37-17:38] 你说我这还是啥
[17:38-17:40] 我都给他亲懵了
[17:40-17:41] 我都
[17:41-17:42] 儿啊
[17:42-17:43] 我也没想到
[17:43-17:44] 你在这秦国
[17:44-17:46] 竟然如此的有威望
[17:46-17:47] 当然了
[17:47-17:48] 我不会给您丢人的
[17:48-17:49] 那就好
[17:49-17:50] 王妞妞
[17:52-17:53] 咋的
[17:53-17:55] 还跟你爹在这儿学舞蹈呢
[17:55-17:56] 这名也是你叫的
[17:56-17:57] 妞妞
[17:57-17:58] 你叫
[17:59-18:00] 我问你
[18:00-18:02] 这个丑八怪
[18:02-18:05] 就是你的竞争对手公子雷吧
[18:05-18:06] 就是他
[18:06-18:08] 对待这样的垃圾
[18:08-18:09] 在称呼上
[18:09-18:10] 便要压他一头
[18:10-18:11] 称呼上压他一头
[18:11-18:12] 看我的
[18:12-18:13] 压他
[18:13-18:14] 爸
[18:14-18:15] 你想咋的
[18:15-18:16] 你想咋的
[18:16-18:17] 老弟
[18:17-18:18] 别老弟
[18:18-18:19] 别老弟
[18:19-18:20] 你是压他一头
[18:20-18:21] 我爱他一辈啊
[18:28-18:30] 爸跟他盘盘道
[18:30-18:31] 那你也不能跟我
[18:31-18:33] 盘个老鼠出来你盘
[18:34-18:35] 少废话
[18:35-18:37] 你要跟我竞选这个团长
[18:37-18:38] 我告诉你
[18:38-18:39] 你给我死了这条心啊
[18:39-18:40] 你要这么老客
[18:40-18:41] 当大哥的
[18:41-18:42] 你可别当大哥的了
[18:44-18:45] 公子雷
[18:45-18:47] 这个团长我当定了
[18:47-18:48] 怎么了
[18:48-18:50] 一个弱小的韩国
[18:50-18:52] 你有什么资格跟我竞争
[18:52-18:53] 况且
[18:53-18:56] 我已经准备了神秘的重礼
[18:56-18:58] 今天晚上我就献给秦王
[18:58-18:59] 我不信
[18:59-19:00] 给我看看
[19:00-19:02] 这吉祥法只有傻子才会相信啊
[19:02-19:03] 看就看
[19:03-19:04] 看就看
[19:04-19:05] 傻子
[19:05-19:07] 这是我鲁国用汉白玉
[19:07-19:08] 制造的白藕
[19:08-19:10] 十分罕见
[19:10-19:12] 秦王一定会喜欢的
[19:16-19:17] 怎么没了
[19:17-19:19] 卑鄙的公子放
[19:19-19:20] 是不是你给我偷走了
[19:20-19:21] 你放屁
[19:21-19:22] 放屁
[19:22-19:24] 我们韩国虽然小
[19:24-19:25] 但我们不投不抢
[19:25-19:26] 这是我们的精神
[19:26-19:27] 说得好
[19:31-19:32] 那我是个拉根
[19:32-19:33] 你肯定是拉根
[19:33-19:34] 你好好找找吧
[19:34-19:35] 我找找吧
[19:35-19:36] 太过分了
[19:36-19:37] 我不好意思啊
[19:37-19:38] 父亲
[19:38-19:39] 您受委屈了
[19:39-19:40] 儿啊
[19:40-19:41] 你也无需自卑
[19:41-19:44] 父王也为你准备了一件神秘重礼
[19:44-19:45] 交由你晚上
[19:45-19:46] 献与秦王
[19:46-19:47] 是吗
[19:47-19:48] 谢谢父亲
[19:48-19:49] 鲁国道算什么
[19:49-19:50] 给你看看
[19:50-19:52] 我们的韩国武报
[19:53-19:55] 这是鲁国
[19:56-19:57] 爸
[19:57-19:59] 这上面写着鲁国制造的
[19:59-20:00] 你不能老偷东西啊
[20:07-20:09] 那有没有可能鲁国道发源地
[20:09-20:10] 也不可能是韩国
[20:10-20:12] 肯定是不可能是韩国
[20:12-20:14] 秦王到
[20:22-20:24] 秦王到
[20:45-20:46] 提一杯吧
[20:46-20:47] 你这是提一杯
[20:47-20:49] 秦王都没提一杯
[20:49-20:50] 你提啥一杯的
[20:50-20:52] 我提人秦王提一杯
[20:52-20:54] 不用你提
[20:54-20:57] 韩王提一杯吧
[21:01-21:02] 不打亏说话啊
[21:03-21:05] 我们家妞妞
[21:05-21:06] 王子放
[21:07-21:08] 是在秦国
[21:09-21:10] 就拜托大家了啊
[21:11-21:13] 那我赋诗一首吧
[21:13-21:14] 你可别
[21:14-21:15] 秦国不大
[21:16-21:17] 风景如画
[21:17-21:19] 好人不多
[21:19-21:20] 都改这桌
[21:20-21:23] 我宣了交给
[21:25-21:27] 啥是交给
[21:31-21:33] 韩王好酒量
[21:34-21:35] 长脸不
[21:35-21:36] 太丢脸了
[21:39-21:40] 有点尴尬
[21:42-21:43] 我儿子会酒量
[21:43-21:44] 我不会
[21:44-21:45] 不是你干啥呀
[21:45-21:47] 小时候教你是怎么这么修的
[21:47-21:48] 当领导员
[21:48-21:49] 不是 半斤个剧本面
[21:49-21:50] 我肯定不懂
[21:50-21:51] 我爸爸也没教啊
[21:55-21:56] 高兴
[21:57-21:58] 高兴走
[21:59-22:00] 小蝴蝶飞
[22:02-22:03] 我不怀
[22:08-22:09] 公子放
[22:09-22:10] 这是怎么了
[22:12-22:13] 他射死了
[22:15-22:16] 秦王 耳你喜欢不
[22:16-22:17] 汉白玉的耳
[22:17-22:18] 秦王
[22:19-22:20] 那个耳不是我们韩国的
[22:21-22:22] 我们国家连年征战
[22:23-22:24] 送不起如此贵重的礼物
[22:25-22:28] 有的只有一颗臣服之心
[22:28-22:29] 是啊
[22:29-22:30] 以及我儿一段萨克斯毒
[22:30-22:31] 没有萨克斯毒
[22:31-22:33] 啥是萨克斯呀爸呀
[22:34-22:35] 施浪松
[22:35-22:36] 没有了
[22:36-22:38] 好 好 好
[22:39-22:40] 看来
[22:41-22:44] 这个质子团团长的人选
[22:44-22:47] 我心中已经有答案了
[22:48-22:49] 听着没 有答案了
[22:50-22:51] 肯定把我排除了
[22:51-22:52] 就是公子放
[22:55-22:56] 爸你好牛啊
[22:57-22:58] 儿啊
[22:58-22:59] 我再教你最后一招
[23:00-23:01] 在这个社会上
[23:01-23:03] 不能显得自己太幼
[23:03-23:04] 半推半就一下了
[23:05-23:06] 好 我都听您的
[23:06-23:07] 安排了
[23:07-23:08] 谢谢秦王
[23:08-23:10] 但我年纪尚小
[23:10-23:12] 可能无法单子重任
[23:12-23:13] 那算了
[23:14-23:15] 不是
[23:15-23:16] 听老伴儿的那段
[23:16-23:17] 我塞死了
[23:17-23:18] 月二月二十公里有无的
[23:18-23:20] 秦王再给我一次机会吧
[23:20-23:21] 我上日大
[23:21-23:22] 好了 好了
[23:23-23:26] 我已选定了公子雷
[23:28-23:29] 公子雷
[23:30-23:31] 你敢不敢跟我比一场
[23:31-23:34] 这种情况傻子才会跟你比
[23:34-23:35] 比就比
[23:35-23:36] 把这场忘了
[23:37-23:38] 好 那就比弩
[23:39-23:42] 韩王你来当这个裁判吧
[23:44-23:45] 韩王
[24:05-24:06] 再开心吧
