[00:00-00:02] 开学第一天
[02:06-02:07] 好
[02:11-02:13] 到我位置上来了
[02:13-02:14] 抱歉李老师
[02:14-02:16] 回你自己位置上去
[02:23-02:24] 不是大哥
[02:24-02:26] 你朝那边听课呀
[02:26-02:28] 黑板在这呢
[02:28-02:29] 李老师
[02:29-02:30] 对不起
[02:30-02:32] 我已经习惯面对学生了
[02:33-02:34] 可以了
[02:34-02:35] 马上就要上课了
[02:35-02:36] 您先自习
[02:36-02:37] 我也先看会儿教案
[02:37-02:38] 是
[02:38-02:39] 您快
[02:53-02:54] 干什么
[02:54-02:56] 第七行
[02:56-02:57] 第七行怎么了
[02:57-02:58] 我看不懂
[02:59-03:00] 你看不懂你就坐那
[03:00-03:02] 一会儿等老师教你
[03:02-03:03] 对
[03:03-03:05] 人是得活到老学到老
[03:05-03:07] 我怕你是活到老学到高三
[03:08-03:09] 那是怎么
[03:09-03:10] 谁手机
[03:10-03:11] 我的怎么了
[03:12-03:13] 借
[03:15-03:16] 亲爱的
[03:18-03:19] 你怎么在这儿啊
[03:19-03:20] 我去找你
[03:20-03:21] 你去找我
[03:21-03:22] 亲爱的
[03:23-03:24] 不是我
[03:25-03:26] 亲爱的
[03:26-03:27] 亲爱的
[03:27-03:28] 你干什么
[03:28-03:29] 高三了
[03:29-03:30] 高三怎么了
[03:30-03:31] 谈恋爱
[03:32-03:34] 我是老师我不能谈恋爱吗
[03:34-03:35] 这是理由吗
[03:35-03:36] 这是人话吗
[03:36-03:37] 李老师
[03:37-03:39] 你得把重心放在教学上
[03:39-03:41] 你看我今年三十六了
[03:41-03:42] 都没考上大学
[03:42-03:44] 你不着急呀
[03:51-03:52] 老大哥
[03:53-03:55] 我今天第一天来
[03:57-03:58] 李老师
[03:58-04:00] 不是不让你谈恋爱
[04:00-04:02] 等您当了大学老师以后
[04:02-04:04] 你随便谈
[04:04-04:06] 我管不着
[04:12-04:13] 我告诉你杨玉光
[04:13-04:15] 你现在你也管不着
[04:15-04:17] 把你家长叫来
[04:18-04:19] 什么
[04:19-04:20] 我听错了吗
[04:20-04:22] 把你家长叫来
[04:23-04:24] 听过了
[04:24-04:25] 杨玉光
[04:25-04:27] 你找我家长了
[04:27-04:29] 好好好
[04:29-04:31] 你倒是提醒我了
[04:31-04:33] 今天我就把你爸叫来
[04:33-04:35] 我让你分清楚这个班里
[04:35-04:37] 谁才是老师
[04:37-04:39] 我现在管不了你了是吧
[04:40-04:41] 好
[04:41-04:42] 你这种人
[04:42-04:43] 你这种人
[04:43-04:44] 好
[04:44-04:46] 好 你这么整是吧
[04:46-04:47] 好好好
[04:47-04:49] 没事
[04:52-04:53] 喂
[04:53-04:55] 杨玉光父亲是吧
[04:55-04:57] 我是他新转来的班主任
[04:57-04:59] 麻烦你来学校一趟
[04:59-05:00] 好嘞
[05:00-05:02] 小样我还治不了你了
[05:03-05:05] 楼下那辆9576的
[05:05-05:07] 红色小轿车是谁的
[05:07-05:08] 我的怎么了
[05:08-05:09] 来 下去挪一下占人承威了
[05:09-05:11] 不好意思 我马上去挪
[05:11-05:12] 乌队
[05:12-05:14] 杨班长
[05:17-05:19] 过年请你俩不用买鞭炮了
[05:20-05:21] 杨班长
[05:21-05:22] 你放心
[05:22-05:24] 你的车位马上就给你挪出来了
[05:24-05:25] 我这谁车位了
[05:25-05:26] 算了
[05:26-05:28] 就让李老师先停着吧
[05:29-05:30] 头也怎么还变了呢
[05:30-05:31] 可是那车位
[05:31-05:33] 我的话你都不听了呗
[05:33-05:34] 停
[05:34-05:35] 来
[05:35-05:36] 来啊
[05:36-05:37] 报数
[05:37-05:38] 全员到齐
[05:38-05:39] 一个人报啥数
[05:39-05:40] 来
[05:40-05:41] 保安守得第一条
[05:41-05:42] 爱港敬业 人人有责
[05:42-05:43] 第二条
[05:43-05:44] 天上笼肉 地下驴肉
[05:44-05:45] 第三条
[05:45-05:46] 还是听杨班长的话吧
[05:46-05:48] 晚点再练艾艾吧
[05:52-05:54] 你要是真喜欢唱歌
[05:54-05:56] 就好好学学
[05:56-05:57] 以后我的车位
[05:57-05:59] 就让李老师先停着了
[05:59-06:00] 手刀
[06:00-06:01] 来 向右转
[06:01-06:03] 起步走
[06:04-06:05] 等会
[06:08-06:09] 要上课了你干嘛去呀
[06:09-06:10] 你还是保安
[06:10-06:11] 来
[06:11-06:12] 李老师
[06:12-06:13] 那只是我曾经的
[06:13-06:15] 一个身份罢了
[06:15-06:16] 那是我复读到
[06:16-06:17] 第九年的时候
[06:18-06:20] 我找的一个兼职
[06:21-06:22] 你还挺自立
[06:23-06:24] 对喽
[06:24-06:25] 这么说
[06:25-06:26] 男人要三时而立
[06:26-06:27] 四时不获
[06:27-06:28] 五时什么
[06:28-06:29] 五时已到
[06:29-06:30] 准备上课
[06:31-06:33] 这里就是高三八班吧
[06:33-06:34] 谁呀
[06:34-06:36] 又是谁呀
[06:40-06:42] 你就是新来的老师吧
[06:45-06:47] 这位车仔摆件是
[06:48-06:50] 少废话叫岳哥
[06:50-06:52] 彭胡安
[06:52-06:54] 我的
[06:55-06:56] 彭胡安
[06:56-06:58] 那不是外婆的吗
[06:58-06:59] 少废话
[06:59-07:00] 我告诉你
[07:00-07:02] 我兄弟收的保护费
[07:02-07:03] 让你们班学生
[07:03-07:05] 抢走还人家了
[07:05-07:06] 你现在要不把这人
[07:06-07:07] 给我揪出来
[07:07-07:08] 我砸你教室
[07:08-07:09] 别别别
[07:09-07:10] 我是你
[07:14-07:15] 杨班长
[07:19-07:20] 不是
[07:21-07:22] 杨玉国
[07:22-07:24] 你怎么给孩子吓成这样
[07:24-07:26] 你以前杀过人
[07:27-07:28] 李老师你不要怕他
[07:28-07:29] 我是怕你
[07:31-07:32] 李老师
[07:32-07:33] 介绍一下
[07:33-07:34] 这是我复读到
[07:34-07:35] 第十二年的时候
[07:35-07:37] 我班上的纪律为原
[07:39-07:40] 不是吧
[07:41-07:43] 我不是给你送上大学了吗
[07:43-07:45] 怎么又出来当混混了
[07:45-07:47] 杨班长
[07:47-07:49] 我毕业论文没过吗
[07:49-07:50] 为什么
[07:50-07:51] 写得不好吗
[07:51-07:52] 写得很好
[07:52-07:54] 但查充率百分百
[07:55-07:57] 那个叫下载
[08:01-08:04] 那你现在好好学呀大哥
[08:05-08:06] 阿玉
[08:06-08:09] 还记得你当纪律为原的时候吗
[08:15-08:16] 我记得
[08:17-08:18] 是你在讲台上
[08:18-08:20] 谁手机
[08:20-08:21] 我在你旁边
[08:21-08:23] 一门不选别人还选
[08:23-08:24] 但是
[08:31-08:32] 我知道
[08:36-08:37] 你那个时候
[08:37-08:40] 好爱好爱学习的
[08:40-08:41] 叔叔麻烦您快点到
[08:43-08:44] 阿玉
[08:44-08:45] 言毕了
[08:45-08:47] 论文自己写吧
[08:49-08:50] 杨班长
[08:50-08:51] 明年六月八号
[08:51-08:53] 我毕业答辩
[08:53-08:54] 你能来支持我吗
[08:54-08:55] 你放心的
[08:55-08:56] 我必到的
[08:56-08:57] 你到不了
[08:57-08:59] 六月八号你高考
[09:02-09:03] 我差那一年吗
[09:06-09:07] 杨玉光
[09:08-09:10] 你得复读到退休
[09:11-09:13] 小纪律为原
[09:15-09:18] 不要再当混混了
[09:19-09:21] 再见
[09:21-09:23] 再见
[09:26-09:27] 聊完没
[09:28-09:29] 聊完了老师
[09:29-09:30] 我告诉你啊
[09:30-09:32] 你不可以再当混混了
[09:32-09:33] 你不可以再当混混了
[09:33-09:34] 你不可以再当混混了
[09:34-09:35] 聊完了老师
[09:35-09:36] 我告诉你啊
[09:37-09:38] 以后少跟混混玩
[09:38-09:39] 听见没有
[09:39-09:40] 安静
[09:40-09:42] 你们不学别人还学呢
[09:46-09:48] 也少跟纪律为原玩
[09:49-09:50] 李老师
[09:50-09:51] 那只是他的一种身份
[09:51-09:53] 一种角色罢了
[09:54-09:55] 对不起李老师
[09:55-09:57] 让你看笑话了
[09:58-09:59] 杨玉光
[09:59-10:01] 一会儿你爸来了
[10:01-10:03] 你就是天大的笑话
[10:03-10:04] 李老师您好
[10:04-10:05] 我是杨玉光的父亲
[10:05-10:06] 爸
[10:07-10:09] 叔叔您可算是来了
[10:09-10:10] 您放心
[10:10-10:11] 你们家孩子我一定教好他
[10:11-10:13] 但问题出现在哪儿呢
[10:13-10:14] 他什么都像
[10:14-10:15] 就不像学生
[10:15-10:16] 什么
[10:19-10:20] 孩子不能打
[10:20-10:21] 坐
[10:21-10:22] 他坐呀
[10:22-10:23] 儿子
[10:23-10:25] 我当上了部门主管
[10:25-10:26] 真的吗
[10:27-10:29] 真的是太好了
[10:30-10:31] 怎么老杨家呀
[10:31-10:33] 就出了一个你这样的爹
[10:38-10:40] 真的是祖坟冒青烟
[10:41-10:42] 咱们老杨家可算是
[10:42-10:44] 前继有人了
[10:50-10:51] 不好意思
[10:51-10:52] 我打断一下
[10:52-10:55] 二位演的是虎子无犬夫吗
[10:56-10:57] 但是
[10:58-10:59] 爸爸
[10:59-11:01] 您也不能骄傲
[11:01-11:03] 等到儿子不在你身边的时候
[11:03-11:05] 也要好好地生活下去
[11:05-11:06] 好吗
[11:08-11:09] 李老师
[11:09-11:11] 你找我有什么事情
[11:11-11:12] 没事了叔叔
[11:12-11:14] 都给我看傻了
[11:15-11:17] 你们家孩子特别好
[11:17-11:19] 以后他不打我就行
[11:20-11:21] 怎么会呢
[11:21-11:23] 我们家玉光最听话了
[11:23-11:24] 从小到大
[11:24-11:26] 他就打过我一次
[11:26-11:27] 叔叔
[11:27-11:29] 打少了
[11:30-11:32] 我斗打的问一下
[11:32-11:34] 你俩谁是谁的父亲呀
[11:37-11:39] 这个事情很重要吗
[11:39-11:40] 虽然
[11:40-11:42] 我是他生物学当中的父亲
[11:42-11:43] 但是
[11:43-11:44] 在社会学当中
[11:44-11:46] 他可以是任何人
[11:46-11:47] 身份的高低
[11:47-11:49] 不都是人们所定义的吗
[11:49-11:50] 高与低
[11:50-11:52] 尸与生
[11:52-11:54] 否则他不可能是
[11:54-11:55] 尸与生
[11:55-11:57] 父与子
[11:57-11:59] 阳与光
[11:59-12:01] 你长大了
[12:02-12:04] 有男子汉的样子了
[12:05-12:06] 你趕回来
[12:06-12:07] 我娶你
[12:09-12:09] 其实
[12:11-12:13] бр MH
[12:13-12:15] 就像你
[12:15-12:18] 就是你
[12:18-12:20] 你长大了
[12:21-12:23] 有男子汉的样子了
[12:25-12:26] 太多人的父亲
[12:27-12:29] 一辈子都长不大
[12:32-12:33] 我好欣慰
[12:34-12:36] 这样先去玩吧
[12:36-12:39] 我再跟李老师多说几句好吗
[12:48-12:50] 傻爸爸
[12:53-12:54] 这个是儿子
[12:58-12:59] 李老师
[13:00-13:01] 对不起
[13:01-13:03] 又让你看到了一个笑话
[13:04-13:05] 没有
[13:05-13:08] 我只是看到了一个奇观
[13:09-13:11] 你的原生家是什么
[13:12-13:13] 我就是想说
[13:13-13:14] 你这个人
[13:14-13:15] 你这个人
[13:16-13:17] 你这个人
[13:17-13:19] 你的原生家庭好像跳出了
[13:20-13:21] 东亚这个框架
[13:23-13:24] 李老师
[13:24-13:25] 那只是一种身份
[13:25-13:26] 一种角色吧
[13:27-13:28] 杨班长
[13:28-13:29] 受教了
[13:30-13:31] 但是呀
[13:32-13:34] 我现在觉得我可能有点教不了你了
[13:36-13:37] 我就先走了
[13:39-13:40] 李老师
[13:40-13:41] 那
[13:41-13:42] 能不能不走啊
[13:43-13:43] 我不走
[13:44-13:44] 我不走
[13:44-13:46] 我难道等你教我吗
[13:48-13:49] 我教你啊
[13:56-13:56] 什么
[14:00-14:01] 你
[14:01-14:03] 你教我
[14:03-14:04] 什么问题
[14:05-14:06] 那可是
[14:06-14:08] 你要是也不会该怎么办呀
[14:08-14:09] 我可以学呀
[14:09-14:10] 李老师你忘了
[14:10-14:12] 我可是要当老师的男人
[14:12-14:13] 你不要小瞧我
[14:13-14:14] 杨班长
[14:14-14:15] 有道理
[14:15-14:16] 请你帮我教我
[14:16-14:17] 请
[14:18-14:19] 李老师
[14:19-14:20] 你什么不会
[14:20-14:20] 班长
[14:21-14:24] 这道球空间意念直线夹角的题要怎么做
[14:24-14:25] 上来就这么难吗
[14:25-14:27] 是不是要运用到这张
[14:27-14:28] 另一题几何的知识点呢
[14:28-14:29] 我看一看啊
[14:31-14:32] 这一题啊
[14:32-14:34] 用终点中间一些平移的方法就解出来嘛
[14:35-14:35] 太棒了杨班长
[14:36-14:36] 我来给你看啊
[14:36-14:37] 那这些题呢
[14:37-14:38] 这么多吗
[14:38-14:39] 我全都不会
[14:39-14:40] 你全都不会吗
[14:41-14:43] 坐到那里等我教你
[14:43-14:44] 这样啊
[14:44-14:47] 首先题要先写一个什么
[14:50-14:51] 一分就拿到了
[14:51-14:52] 一分拿到了
[14:52-14:52] 对了
[14:52-14:53] 你看我干什么
[14:53-14:54] 一年以后
[14:54-14:56] 杨雨光通过以教代学的方式
[14:56-15:01] 顺利考上了理想的吃饭大学
[15:02-15:03] 好
