[00:00-00:01] 刚刚喜人奇妙夜
[02:43-02:45] 人家一会就来检查了
[02:45-02:47] 我这少一个泳该怎么办
[02:50-02:52] 你是不是故意的
[02:52-02:54] 你是不是故意的
[02:54-02:54] 姐夫 你别打我
[02:54-02:55] 你别打我姐
[02:55-02:58] 拜夫长到
[03:01-03:02] 再给我掉胳膊掉脑袋
[03:02-03:04] 我给你脑光了就行了
[03:05-03:06] 我这天天多忙啊
[03:06-03:07] 箱里
[03:08-03:09] 你没给我出什么乱的吧
[03:09-03:10] 完全没有
[03:10-03:11] 刚掉的
[03:11-03:12] 对 刚做好
[03:16-03:18] 栩栩如生
[03:21-03:23] 有温度
[03:23-03:24] 不是 拜夫长 这个
[03:24-03:25] 好的艺术作品
[03:25-03:26] 就该有温度
[03:32-03:35] 不过蒙将军马上就要来检查了
[03:35-03:37] 我要看看其他泳的质量
[03:37-03:37] 没问题吧
[03:37-03:38] 没问题
[03:40-03:41] 不错
[03:42-03:43] 很好
[03:51-03:52] 这泳
[03:52-03:54] 咋跟别的泳身不太一样呢
[03:54-03:56] 我给它敲疼了
[03:56-03:57] 拜夫长它又不是活的
[03:57-03:58] 怎么能疼呢
[03:58-03:58] 是啊
[03:58-04:00] 你这回再敲一下
[04:00-04:01] 它肯定是当
[04:01-04:02] 能吗
[04:02-04:03] 是当
[04:03-04:04] 是当
[04:07-04:08] 还真是
[04:11-04:12] 非常好
[04:13-04:15] 不光活灵活现
[04:15-04:17] 而且挺有个冰药
[04:17-04:18] 谢谢少管
[04:18-04:19] 等我
[04:23-04:24] 你喊什么
[04:24-04:25] 吓我一跳
[04:25-04:26] 对不起 少管 再也不管了
[04:26-04:27] 来人
[04:32-04:34] 这个我讲两句
[04:35-04:36] 听见没
[04:38-04:38] 怎么了
[04:38-04:40] 拜夫长 什么丢了
[04:42-04:43] 这小泳
[04:43-04:45] 你刚才就在这吗
[04:45-04:46] 不是 拜夫长
[04:46-04:48] 我特意给搬过来的
[04:48-04:49] 跟士兵对齐看看像不像
[04:52-04:53] 好
[04:53-04:56] 这个蒙将军马上就要来了
[04:56-04:57] 所有人给我做好准备
[04:57-04:59] 是
[04:59-04:59] 等我
[05:03-05:05] 我就带俩兵来吧
[05:06-05:07] 是不是就带俩兵
[05:07-05:07] 是
[05:07-05:08] 第三声谁喊的
[05:08-05:09] 我喊他
[05:09-05:11] 你喊什么玩意
[05:11-05:12] 这都古势气
[05:12-05:13] 都是挺严肃的事
[05:13-05:15] 不能再喊了
[05:15-05:16] 你也别喊
[05:16-05:17] 我凭啥不能喊呢
[05:18-05:20] 我说你今天怎么回事
[05:20-05:22] 我是拜夫长 我不能喊吗
[05:22-05:22] 能啊
[05:22-05:23] 我叫啥
[05:23-05:24] 我没跟您说话
[05:26-05:27] 快呀
[05:28-05:29] 怎么的呀
[05:29-05:31] 说一两句生气了
[05:31-05:33] 我俩刮脸了这小泳
[05:33-05:34] 拜夫长
[05:34-05:35] 你做的嘛
[05:35-05:37] 还不牢固一会儿再烧一扇就好了
[05:38-05:39] 这样
[05:39-05:41] 把所有兵马泳摆成一排
[05:41-05:43] 这个刮脸的单独烧一遍
[05:43-05:44] 再摆成一排
[05:44-05:45] 当然了
[05:45-05:46] 拜夫长 您先做
[05:46-05:48] 这个可以让我来弄就行了
[05:48-05:48] 我发现
[05:48-05:49] 我来吧
[05:49-05:50] 拜夫长
[05:50-05:51] 你坐
[05:51-05:52] 你喝口水
[05:52-05:52] 我坐
[05:52-05:53] 不坐
[05:53-05:54] 不坐算了
[05:54-05:55] 不坐
[05:55-05:56] 吃面子
[05:56-05:56] 拜夫长
[05:56-05:57] 好好弄
[05:57-05:58] 没事 没问题
[05:58-06:00] 别送了 好不好
[06:00-06:01] 等我
[06:15-06:16] 什么情况
[06:17-06:18] 把我练了
[06:18-06:19] 把我练了
[06:20-06:21] 把我练了你当拜夫长
[06:21-06:22] 对不起
[06:22-06:22] 得性
[06:24-06:25] 抓紧时间
[06:25-06:25] 拜夫长
[06:25-06:26] 怎么回事
[06:26-06:27] 您慢走 拜夫长
[06:27-06:28] 你听我
[06:28-06:29] 说他没说你
[06:29-06:30] 姐夫
[06:30-06:33] 救我
[06:33-06:34] 小舟子
[06:34-06:36] 我来救你了
[06:36-06:36] 救救我
[06:48-06:49] 我跪麻了
[06:51-06:53] 本来以为装作兵勇刺杀
[06:53-06:55] 秦国将军的计划天衣无缝
[06:56-06:58] 结果跟个傻子装点了
[06:59-07:00] 没关系
[07:01-07:03] 我换一个坑埋伏他
[07:03-07:05] 今日蒙易
[07:05-07:07] 必死于我的剑下
[07:10-07:12] 你还有脸笑
[07:13-07:14] 我还要你死
[07:14-07:15] 我还要你死
[07:15-07:16] 我还要你死
[07:17-07:20] 你知道我找你找得多着急吗
[07:20-07:21] 快走
[07:23-07:24] 你拿个小东西
[07:24-07:26] 你比划什么呀比划
[07:26-07:26] 你放心
[07:26-07:28] 接下来全都交给姐夫
[07:28-07:29] 走
[07:30-07:32] 去杀我爷
[07:32-07:34] 你没完啦
[07:36-07:37] 你说你哪
[07:37-07:38] 你说你能不能让你姐
[07:38-07:39] 省点心的
[07:39-07:40] 真个比划
[07:40-07:41] 小舟子
[07:42-07:44] 小舟子
[07:45-07:46] 你在外边
[07:46-07:48] 有别的小舟子了
[07:50-07:51] 我回去告诉我姐
[07:51-07:52] 回来
[07:52-07:53] 你是杨语光
[07:53-07:54] 不然呢
[07:55-07:56] 那你是谁
[07:56-07:59] 我苦练行刺十余载
[07:59-08:02] 让你拿个小船给我这顿粥
[08:02-08:03] 行刺
[08:03-08:05] 你是刺客
[08:05-08:07] 我是刺客又能怎么样
[08:07-08:09] 今日我要先杀你俩
[08:09-08:11] 再杀蒙易
[08:11-08:11] 兄弟
[08:14-08:15] 谁也不能动
[08:15-08:16] 大将军
[08:17-08:17] 别对着他
[08:19-08:20] 小舟子
[08:20-08:21] 我来帮你
[08:22-08:23] 姐夫 是我
[08:23-08:24] 不好意思
[08:28-08:28] 还是我
[08:29-08:30] 不好意思
[08:33-08:34] 姐夫
[08:34-08:35] 我
[08:36-08:37] 姐夫
[08:37-08:38] 我
[08:42-08:44] 还挺狡诈
[08:44-08:45] 没关系
[08:45-08:46] 姐夫能分辨
[08:46-08:47] 全军听令
[08:47-08:48] 到
[08:48-08:48] 打他
[08:51-08:52] 不要打了
[08:53-08:54] 不要再打了
[08:55-08:56] 我不打可以
[08:56-08:57] 你现在走
[08:57-08:59] 我当什么事都没发生
[08:59-09:00] 我不走
[09:00-09:01] 我要杀了蒙易
[09:01-09:02] 那我就举报你
[09:02-09:04] 你举报我们三个一起死
[09:04-09:06] 将军到
[09:06-09:07] 蒙易来了
[09:10-09:11] 这个香蕉
[09:14-09:15] 蒙将军来了
[09:15-09:16] 将军
[09:16-09:17] 那您先参观
[09:17-09:18] 我去下个窑洞等您
[09:18-09:19] 去吧
[09:19-09:20] 照顾好
[09:20-09:21] 好嘞
[09:21-09:22] 将军
[09:22-09:23] 请
[09:23-09:24] 好
[09:26-09:27] 将军
[09:27-09:29] 这是咱们的士兵
[09:29-09:31] 彰显咱们大旗士兵的气势
[09:31-09:31] 好
[09:35-09:36] 这是什么勇
[09:37-09:39] 这是好朋友
[09:40-09:41] 好
[09:41-09:43] 将军往这边看
[09:48-09:49] 这是咱们的将军
[09:49-09:51] 咱们大旗将军的威严
[09:55-09:56] 这是什么勇
[09:56-10:00] 这是自由勇
[10:01-10:02] 好
[10:02-10:03] 将军
[10:03-10:05] 往这边看
[10:07-10:08] 将军
[10:08-10:08] 这个地方
[10:09-10:09] 这个地方
[10:09-10:10] 别用理
[10:10-10:11] 你这是带着本将军
[10:11-10:13] 来谈情说吧
[10:17-10:18] 将军
[10:18-10:19] 啥
[10:19-10:20] 将军
[10:20-10:22] 我不知道该咋说
[10:23-10:24] 这
[10:24-10:27] 我这里不知道该咋说
[10:30-10:31] 你就放心
[10:31-10:33] 大胆的说
[10:33-10:34] 将军
[10:34-10:36] 这勇他
[10:36-10:37] 活练
[10:39-10:40] 还
[10:40-10:41] 还
[10:41-10:42] 还
[10:42-10:42] 还
[10:43-10:44] 还
[10:46-10:47] 解阳离
[10:47-10:48] 这是什么情况
[10:48-10:49] 将军
[10:49-10:51] 此乃
[10:51-10:52] 活勇
[10:53-10:54] 活勇
[10:54-10:57] 我曾随徐福东渡
[10:57-10:58] 我在东边
[10:58-11:01] 学到了一种法术叫
[11:01-11:03] 绘图转生
[11:03-11:05] 我将此勇命名为
[11:05-11:06] 活勇
[11:06-11:07] 忍者
[11:09-11:10] 放我
[11:10-11:12] 屁
[11:13-11:16] 这俩要是活勇忍者
[11:16-11:16] 那我
[11:16-11:19] 走势哈玛问胎
[11:26-11:27] 将军
[11:27-11:28] 此二人是
[11:28-11:29] 刺客
[11:29-11:31] 您一声令下
[11:31-11:33] 我马上诛杀此二人
[11:33-11:34] 慢着
[11:35-11:37] 我知道你为何要刺杀
[11:37-11:39] 无非就是要为那六国报仇
[11:39-11:41] 但我大秦现在已经统一
[11:41-11:43] 无论你以前是燕国人
[11:43-11:45] 赵国人还是齐国人
[11:45-11:47] 现在都是我秦国人
[11:47-11:49] 是我大秦的百姓
[11:49-11:49] 我们是
[11:49-11:50] 一
[11:50-11:51] 家
[11:51-11:51] 人
[11:52-11:53] 我是匈奴人
[11:53-11:54] 打他
[11:54-11:55] 打
[11:55-11:55] 打
[11:55-11:57] 王爷
[11:59-12:00] 解
[12:00-12:01] 开
[12:01-12:02] 解
[12:04-12:05] 走
[12:05-12:06] 走
[12:06-12:07] 走
[12:07-12:08] 走
[12:09-12:11] 那这个人
[12:11-12:13] 也是刺客
[12:13-12:13] 将军
[12:13-12:14] 他不是刺客
[12:14-12:16] 他是我小舅子
[12:16-12:16] 因为
[12:16-12:18] 我怒坏了一个兵马俑
[12:18-12:20] 所以才想让我小舅子过来顶替
[12:20-12:21] 将军
[12:21-12:22] 请允许
[12:22-12:23] 一切罪责由我一人承担
[12:23-12:24] 咸阳里
[12:25-12:26] 我来说吧
[12:27-12:28] 将军
[12:28-12:30] 恳请一切罪责
[12:30-12:32] 由咸阳里一人承担
[12:32-12:33] 我说好了
[12:33-12:34] 行了
[12:35-12:36] 都起来吧
[12:37-12:38] 咸阳里
[12:38-12:41] 你将此人私藏此重地
[12:41-12:42] 按我大秦的律法
[12:42-12:43] 理应问斩
[12:43-12:45] 但我大秦铸造这些兵俑
[12:45-12:48] 就是为了要废除那活人陪葬的陋习
[12:48-12:53] 现在又怎能因一兵俑而诛杀这活人呢
[12:53-12:55] 既苍人得以天下
[12:55-12:58] 必宽而以待民
[12:58-13:00] 太好了 将军
[13:00-13:02] 太好了 这样
[13:02-13:04] 你鼓啥掌呢
[13:04-13:04] 你听明白了
[13:04-13:05] 没有
[13:05-13:06] 啥意思
[13:06-13:08] 这肥叔坑儒老多年了
[13:08-13:09] 你又是把他放了
[13:09-13:10] 好
[13:10-13:12] 杀他了
[13:12-13:13] 明白了吗
[13:13-13:14] 明白了
[13:14-13:15] 多谢将军
[13:15-13:17] 但是
[13:17-13:18] 死罪可免
[13:18-13:20] 活罪难逃
[13:20-13:21] 即日起
[13:21-13:24] 我要罚你冲军
[13:24-13:25] 什么
[13:28-13:29] 真是不太好
[13:29-13:30] 不太好
[13:30-13:31] 将军
[13:31-13:32] 将军
[13:32-13:35] 你好像罚他心坎里似的
[13:35-13:36] 速速来我军营报到
[13:36-13:38] 到时候与我一起
[13:38-13:40] 北极休奴
[13:40-13:41] 南极企鹅
[13:48-13:49] 我就对这个
[13:49-13:51] 肥叔坑儒这个事儿
[13:51-13:52] 我就觉得有争议
[13:52-13:56] 咱们大秦就是书太少了
[13:56-13:57] 但是婶多 反正
[14:01-14:02] 将军
[14:02-14:03] 将军
[14:06-14:07] 借过
[14:07-14:09] 其实我还是很犹豫的
[14:09-14:10] 我很纠结
[14:10-14:12] 算了 我还是留下来陪你吧
[14:15-14:17] 我可没看出来
[14:18-14:20] 那
[14:20-14:21] 给你添麻烦了
[14:21-14:23] 你还知道啊
[14:23-14:25] 以后家里
[14:25-14:26] 就摆脱你了
[14:26-14:29] 你现在最敢担心的是你自己
[14:29-14:31] 你知不知道当兵是很危险的
[14:31-14:33] 我知道
[14:33-14:34] 你看
[14:35-14:37] 这些兵
[14:37-14:39] 多威风
[14:39-14:40] 多漂亮
[14:40-14:43] 我想和他们一样
[14:43-14:44] 人活着一辈子
[14:44-14:46] 总要留下点什么
[14:46-14:47] 我就是想
[14:47-14:49] 让千千万万的人
[14:49-14:51] 记住我
[14:57-14:58] 好
[14:59-15:01] 这件事儿
[15:01-15:02] 一定可以的
[15:02-15:03] 这么相信我
[15:05-15:06] 姐夫向您保重
[15:08-15:09] 保重
[15:34-15:39] 黑关马雷加出龙口
[15:39-15:43] 黄河水出龙鼓
[15:43-15:47] 加出雷霸
[15:56-15:58] 南极曲
[15:58-16:00] 北极匈奴
[16:00-16:02] 好敢
