[00:00-00:01] 八十一难
[07:19-07:20] 对我们来说
[07:20-07:21] 可都七百多难了
[07:21-07:21] 你这你
[07:25-07:26] 悟空
[07:27-07:28] 八戒刚才
[07:29-07:30] 什么意思
[07:32-07:33] 师父
[07:33-07:34] 其实
[07:34-07:37] 这不是咱们第一次来取经了
[07:37-07:37] 这已经是咱们
[07:37-07:39] 第九次来取经了
[07:39-07:41] 每次完不成八十一难
[07:41-07:44] 我们就得等您转世投胎
[07:44-07:45] 从头再来一遍
[07:46-07:48] 咱们第一次取经
[07:48-07:49] 是曹操发起的
[07:51-07:54] 您一开始是东汉散葬
[07:54-07:56] 后来是三国散葬
[07:56-07:58] 魏晋南北散葬
[07:59-08:01] 也就是说我随散葬
[08:01-08:03] 这次也没法把真经
[08:03-08:05] 带回东土大随了
[08:10-08:11] 不是
[08:15-08:16] 不仅如此
[08:16-08:18] 这些年朝代更替
[08:18-08:20] 这都城一会儿在河南
[08:20-08:21] 一会儿在陕西
[08:21-08:24] 那么是学完河南话学陕西话
[08:24-08:25] 都该说了
[08:25-08:26] 有啥用了
[08:27-08:29] 我都希望下一个朝代的都城
[08:29-08:32] 千万不要定在汶州
[08:32-08:34] 汶州话太难学了
[08:37-08:38] 好了
[08:38-08:40] 那也不能让吴静来当妖怪
[08:40-08:41] 我说了
[08:41-08:43] 我们尽量不要内候
[08:43-08:44] 尽量
[08:44-08:46] 师父你刚刚说绝对不要内候
[08:47-08:49] 吴静 你去生火
[08:49-08:50] 八戒
[08:50-08:51] 把我的紫金加沙拿来
[08:51-08:53] 悟空 你去花园
[08:53-08:54] 烦死了
[08:56-08:58] 咱们几人先吃饭
[08:58-08:58] 吃完了饭
[08:58-09:01] 我就要去面见佛祖
[09:01-09:02] 我就问问他
[09:02-09:04] 为什么非得是八十一难呢
[09:04-09:06] 八十难怎么就不行了
[09:06-09:07] 是不是
[09:07-09:07] 我说了
[09:07-09:09] 咱们别太内候
[09:13-09:14] 师父
[09:14-09:17] 你看现在像不像我要把你给杵了
[09:17-09:18] 救命啊
[09:18-09:19] 妖怪要杵了
[09:19-09:20] 谁
[09:20-09:21] 救命啊
[09:21-09:23] 我被妖怪抓走了
[09:23-09:24] 师父
[09:24-09:26] 你好像做了个大决定
[09:26-09:27] 吴静
[09:27-09:28] 随阳帝待我不薄
[09:28-09:29] 闪开
[09:29-09:30] 我不闪
[09:30-09:32] 百姓的愿望我还没实现呢
[09:32-09:33] 我看看
[09:33-09:35] 推翻随朝是什么愿望
[09:36-09:37] 这
[09:37-09:39] 你这什么愿望
[09:39-09:40] 待我还活
[09:40-09:41] 救命啊
[09:41-09:43] 我被妖怪抓走了
[09:43-09:44] 师父
[09:44-09:46] 你这是为什么
[09:46-09:47] 吴静
[09:47-09:48] 因为你人善
[09:48-09:50] 人善被人踩呗
[09:50-09:51] 不好了
[09:51-09:51] 怎么
[09:51-09:54] 师父的加沙不见了
[09:54-09:56] 快去吴静的包里找一找
[09:56-09:56] 找到了
[09:56-09:57] 怎么
[10:01-10:03] 师父
[10:03-10:04] 师父
[10:04-10:06] 哎呀呀呀呀呀呀呀
[10:06-10:09] 你怎么能偷师父的家山呢沙士弟
[10:09-10:11] 月光宝盒
[10:11-10:13] 你怎么能偷月光宝盒呢沙士弟
[10:13-10:14] 手里剑
[10:14-10:16] 你怎么能偷手里剑的沙士弟
[10:21-10:22] 混在当啊
[10:23-10:26] 偷家山的后果可是很严重的
[10:26-10:27] 你是知道的
[10:27-10:29] 想想黑熊精的下场啊
[10:29-10:30] 现在想想黑熊精
[10:30-10:31] 应该也是被冤枉的吧
[10:32-10:35] 人赃俱获还想抵赖
[10:35-10:36] 受死吧偷家山怪
[10:36-10:38] 这名字也太草率了
[10:38-10:38] 你
[10:38-10:39] 行了
[10:39-10:41] 这规则本来就不公平
[10:41-10:44] 九辈子了没操过巴西呢
[10:44-10:45] 就不能改改吗
[10:49-10:51] 他想挑战规则
[10:51-10:53] 他是不知道这样做的后果吧
[10:53-10:54] 我知道
[10:55-10:57] 五百年前
[10:57-11:00] 也有一个人想挑战规则
[11:00-11:02] 他生来便不是肉眼翻胎
[11:02-11:04] 他先是大闹龙宫
[11:04-11:06] 打败了虾兵蟹将
[11:06-11:10] 然后是天兵天将神兵神将
[11:10-11:12] 可最后呢
[11:12-11:14] 他还是失败了
[11:14-11:16] 这个人
[11:16-11:17] 你们都忘了吗
[11:18-11:19] 他就是哪吒
[11:19-11:20] 哪吒吗
[11:20-11:21] 哪吒
[11:21-11:23] 哪吒命太惨了
[11:23-11:24] 我不能跟他一样
[11:24-11:25] 哎呀
[11:25-11:26] 行啊
[11:26-11:27] 就没有别的办法了吧
[11:27-11:28] 我有办法
[11:30-11:31] 我来当妖怪
[11:31-11:32] 你们降服我
[11:32-11:34] 师父
[11:34-11:36] 你们三个先上去
[11:36-11:37] 反正我有背景
[11:38-11:40] 下一辈子我再上去找你们
[11:40-11:42] 师徒一场
[11:42-11:43] 送我最后一程吧
[11:47-11:48] 动手
[12:00-12:01] 师父
[12:01-12:04] 从现在这个阵型来看
[12:04-12:06] 好像还是我是妖怪
[12:06-12:08] 就差一点
[12:08-12:09] 妖怪
[12:09-12:11] 妖怪
[12:13-12:14] 我能不疯吗
[12:16-12:18] 我能不疯吗
[12:19-12:20] 他
[12:20-12:21] 他
[12:21-12:22] 他
[12:22-12:23] 他
[12:23-12:24] 他
[12:24-12:25] 他
[12:25-12:26] 他
[12:26-12:27] 他
[12:27-12:28] 他
[12:28-12:29] 他
[12:30-12:31] 太难了
[12:32-12:35] 九世轮回都没成
[12:35-12:37] 又一轮也未必能成
[12:40-12:42] 我
[12:42-12:44] 人生再世几十年
[12:44-12:46] 你们呢
[12:46-12:47] 万岁
[12:47-12:48] 万岁
[12:48-12:50] 万万岁
[12:51-12:52] 取不到真经
[12:52-12:55] 我愧对天下苍生
[12:55-12:56] 我
[12:56-12:56] 哎
[12:56-12:57] 师父
[12:57-12:58] 没事吧
[12:58-12:59] 师父
[12:59-13:00] 师父快撑不住了
[13:00-13:01] 我还在等什么呢
[13:01-13:02] 赶快上手啊
[13:02-13:02] 要不然就
[13:02-13:03] 这一世也白费了
[13:03-13:04] 我还等什么呢
[13:04-13:05] 快点动手
[13:05-13:05] 快点
[13:05-13:06] 快点
[13:06-13:07] 快点
[13:07-13:08] 快点
[13:08-13:10] 师父
[13:10-13:12] 我可以当妖怪
[13:12-13:14] 但是
[13:14-13:17] 我不能伤害你啊
[13:20-13:22] 放下屠刀
[13:22-13:24] 立地成佛
[13:24-13:26] 杀无尽于绝境中
[13:26-13:29] 不忘九世师徒情分
[13:29-13:31] 与困苦中
[13:31-13:34] 牢记兄弟三人情谊
[13:34-13:35] 经受住了
[13:35-13:38] 这第八十一难的考验
[13:38-13:39] 分为
[13:39-13:42] 金身罗汉
[13:53-13:55] 我
[13:55-13:56] 成佛了
[13:57-13:59] 我
[13:59-14:01] 我
[14:02-14:04] 我
[14:04-14:05] 我
[14:05-14:09] 我
[14:09-14:11] 成佛了
[14:14-14:15] 白龙马
[14:15-14:17] 天地之心
[14:17-14:18] 腿之水深涨
[14:18-14:19] 小宝啥土地
[14:19-14:20] 好
[14:26-14:28] 他成佛了
[14:29-14:30] 他
[14:31-14:33] 成佛了
[14:39-14:40] 八戒
[14:40-14:42] 这主意也叫你能出得出来
[14:42-14:43] 那有什么办法
[14:43-14:44] 你说上面成佛的名额
[14:44-14:46] 就那么几个
[14:46-14:47] 他又不像你那么厉害
[14:47-14:49] 又不像你那么厉害
[14:49-14:50] 又不像你那么厉害
[14:50-14:51] 你这种人
[14:51-14:52] 你这种人
[14:52-14:53] 你这种人
[14:53-14:54] 你这种人
[14:54-14:55] 你这种人
[14:55-14:56] 你这种人
[14:56-14:58] 又不像师父那么有背景
[14:58-15:00] 又不像我
[15:01-15:02] 长得那么帅
[15:04-15:04] 以他的贡献
[15:04-15:06] 很难成佛
[15:07-15:08] 只是苦了师父
[15:08-15:10] 这一世
[15:10-15:11] 又取不到真经了
[15:13-15:15] 忠一生督世人
[15:15-15:17] 和忠一世督一人
[15:17-15:19] 为师觉的是一样的
[15:24-15:24] 师父
[15:26-15:26] 你怎么确定
[15:26-15:28] 他最后不会真的动手啊
[15:28-15:29] 八戒
[15:29-15:31] 因为物境
[15:31-15:32] 他仁善
[15:32-15:34] 仁善
[15:34-15:35] 就不该被人欺
[15:35-15:37] 悟空啊
[15:37-15:39] 九世轮回了都没取到真经
[15:39-15:41] 看来为师还是修行不够啊
[15:41-15:42] 我想自己一个人
[15:42-15:43] 四处历练历练
[15:43-15:44] 为来世
[15:44-15:46] 激些德行
[15:47-15:48] 那咱们呢
[15:49-15:50] 我回五指山
[15:53-15:54] 等师父你下一世
[15:57-15:58] 那我去调戏嫦娥了
[15:58-15:59] 你回来
[16:02-16:03] 那我去女儿国了
[16:03-16:04] 你回来
[16:08-16:11] 你回高老庄就行
[16:13-16:14] 师父 那咱们
[16:17-16:18] 来世见
[16:26-16:28] musics
[16:45-16:46] 云童
[16:46-16:48] 前方又到了流沙河
[16:49-16:50] 我为什么要说妖吗
[16:51-16:53] 这不会有妖怪吧
[16:54-16:55] 师父
[16:55-16:55] 师父
[16:56-16:57] 此处
[16:58-16:59] 没妖怪了
[16:59-17:00] 大师兄
[17:01-17:02] 咱快走吧
[17:04-17:07] 恒河沙上不通船
[17:07-17:10] 独霸高师八万年
[17:11-17:12] 不怕神明
[17:12-17:13] 不怕天
[17:14-17:15] 万里沙海
[17:15-17:17] 一河神
[17:17-17:19] 这位诗人是
[17:22-17:23] 你回来干什么
[17:24-17:24] 没事 师父
[17:25-17:26] 你不是都整了吗
[17:26-17:27] 你回来干什么
[17:27-17:29] 那我要是不回来
[17:29-17:31] 你们更掏不起八十一纳了
[17:36-17:37] 他咋了他
[17:37-17:38] 算了 来都来了
[17:38-17:39] 抓紧时间吧
[17:41-17:42] 拿下了 师父
[17:42-17:44] 拜见师父
[17:44-17:44] 这
[17:49-17:50] 这妖怪好恶啊
[17:51-17:52] 师父
[17:53-17:54] 叫我沙悟尽就好了
[17:54-17:56] 法号自己都取好了吗
[17:57-17:59] 那你本名叫沙
[17:59-18:00] 沙义
[18:05-18:06] 沙义
[18:06-18:09] 为师觉得还有必要自我介绍一下
[18:10-18:13] 贫僧自东土大唐而来
[18:13-18:16] 去往西天求取真经
[18:18-18:18] 师父
[18:20-18:21] 我知道
[18:22-18:22] 这你也知道
[18:23-18:24] 我拿行李
[18:24-18:25] 师父
[18:26-18:27] 又完成了一纳呢
[18:27-18:28] 这么弱也算一纳吗
[18:29-18:30] 大师兄
[18:31-18:35] 我这辈子找了一个大乌龟
[18:35-18:37] 咱不行拿它凑一纳呢
[18:42-18:44] 他们带来的作品是
[18:44-18:46] 《越狱的夏天》
[18:52-18:54] 来 你们两个吃饭了
[18:55-18:56] 二狗
[18:57-18:57] 馒头咸菜
[18:58-18:59] 老头大哥
[18:59-19:01] 这饭菜也太简陋了
[19:01-19:02] 在牢里你还想吃什么
[19:04-19:04] 来 你的
[19:05-19:06] 八菜一汤
[19:06-19:07] 一个火锅一碗茅台
[19:09-19:11] 烤全羊一会儿给你上来啊
[19:12-19:14] 不是 你为啥吃这么丰盛啊
[19:14-19:15] 小兄弟
[19:15-19:16] 你要想吃的话
[19:16-19:17] 你吃好了
[19:17-19:18] 我吃了
[19:18-19:19] 你吃了
[19:19-19:20] 我吃了
[19:20-19:21] 你吃了
[19:21-19:21] 我吃了
[19:21-19:22] 你吃好了
[19:23-19:24] 那你吃啥呀
[19:24-19:25] 我上一顿还没吃完呢
[19:25-19:26] 太丰盛了
[19:27-19:29] 那我不客气了
[19:29-19:30] 你人真好
[19:30-19:31] 谢谢啊
[19:31-19:32] 我想问一下
[19:32-19:34] 你为啥待遇这么好啊
[19:34-19:36] 毕竟是断头饭嘛
[19:36-19:37] 留着当夜宵吧
[19:38-19:40] 小兄弟怎么称呼啊
[19:40-19:41] 我叫二狗
[19:41-19:42] 哪个二狗
[19:42-19:44] 这俩字有哪个呀
[19:44-19:47] 就是最普通的二狗
[19:47-19:48] 好名字
[19:49-19:49] 你呢
[19:50-19:52] 在下宋江
[19:57-19:59] 梁山那个宋江
[19:59-20:01] 行不更名 做不改姓
[20:01-20:03] 及时与宋江视野
[20:03-20:05] 我真没想到在牢里能碰见您
[20:05-20:08] 小兄弟是为何被关进这大牢啊
[20:08-20:10] 我是因为昨天吹索纳扰民
[20:10-20:11] 我让人拘留一天
[20:11-20:12] 明儿我就放了
[20:12-20:13] 那咱俩差不多呀
[20:13-20:15] 我也就在这儿待一天
[20:15-20:15] 是吗
[20:15-20:16] 我明儿斩首
[20:16-20:17] 差好多呀
[20:18-20:20] 您是怎么闹的要斩首的呀
[20:21-20:23] 急性写了一首小诗
[20:23-20:25] 冒犯了高求高太尉
[20:25-20:26] 写诗这么严重啊
[20:26-20:27] 写的啥呀
[20:27-20:29] 我在这墙上又写了一遍
[20:29-20:31] 不是 这也太潦草了
[20:31-20:32] 看不清啊
[20:32-20:34] 忠义生度世人
[20:34-20:36] 和忠仪世度义人
[20:36-20:38] 都不如砍死高求那个老贼
[20:38-20:39] 砍他
[20:39-20:40] 就给
[20:40-20:42] 这么直白也叫诗吗
[20:44-20:45] 诗太了
[20:46-20:47] 小兄弟
[20:47-20:49] 既然你我御友一场
[20:49-20:51] 不如今日结为异性兄弟如何呀
[20:51-20:52] 结伴
[20:52-20:54] 不求同年同月同日生
[20:54-20:55] 但求
[20:55-20:56] 可不敢同日死啊
[20:56-20:58] 我明儿我就放了
[20:59-21:00] 死不了的
[21:00-21:02] 今天我就会救你出去
[21:02-21:03] 不用了 明儿我就放了
[21:03-21:06] 一会儿我再给你一个机会
[21:06-21:07] 我先走了
[21:07-21:08] 我先走了
[21:08-21:09] 我先走了
[21:10-21:11] 一会儿我的兄弟们会来劫狱
[21:11-21:13] 到时候把你一起劫走
[21:13-21:14] 明儿我就放了
[21:14-21:15] 既然明儿你就放了
[21:15-21:17] 那今天我就把你救走
[21:17-21:20] 为啥呀 明儿我就放了
[21:20-21:22] 明天走那是你等来的自由
[21:22-21:25] 但你今天走那是你争取来的自由
[21:25-21:28] 你这么一说我就完全不明白了
[21:28-21:29] 这也太抽象了
[21:29-21:31] 哎呀 你怎么不明白呀
[21:31-21:31] 狗圣兄弟
[21:31-21:33] 我叫二狗
[21:33-21:35] 吵什么呢 吵什么呢
[21:35-21:36] 干嘛呢
[21:36-21:38] 没干嘛呀 玩抽象呢
[21:38-21:39] 我臭你信不信
[21:43-21:44] 这墙上写的什么呀
[21:44-21:45] 还好写得潦草
[21:47-21:49] 终一生度反尸
[21:49-21:51] 咋看出来的呀
[21:51-21:52] 谁写的
[21:52-21:53] 我写的
[21:53-21:54] 你快上去
[21:55-21:56] 你当我瞎呢
[21:56-21:58] 这不有落款吗
[21:59-22:00] 二狗
[22:03-22:05] 字体都不一样
[22:05-22:06] 好你个二狗
[22:06-22:07] 行期加一个月
[22:07-22:09] 好好反省啊
[22:09-22:10] 为啥加一个月
[22:10-22:10] 老实点
[22:10-22:11] 咋着
[22:12-22:13] 不好意思啊
[22:13-22:14] 让你行期加重了
[22:14-22:15] 三狗
[22:15-22:16] 二狗
[22:16-22:18] 我今天一定会带你出去的
[22:18-22:20] 你别折腾了 英雄
[22:20-22:22] 我就扰个名 我待一天
[22:22-22:23] 我现在待一个月了
[22:23-22:25] 我再也不玩抽象了
[22:27-22:28] 你放心吧
[22:28-22:30] 我们梁山的兄弟早已经在来的路上了
[22:30-22:32] 梁山好汉
[22:32-22:33] 我听说过
[22:33-22:36] 108个英雄各个身怀绝技
[22:36-22:38] 你对我们梁山好汉如此了解
[22:38-22:40] 莫不是早就想加入我们了
[22:40-22:41] 那倒没有
[22:41-22:43] 吃面的时候收集过你们的水壶卡
[22:43-22:46] 梁山好汉十千来饮
[22:51-22:53] 补上早十千
[22:53-22:53] 十千兄弟
[22:53-22:54] 宋江哥哥
[22:54-22:55] 我这就来救你
[22:55-22:56] 好
[22:56-22:57] 这就要发功了吗
[22:57-23:00] 这可是梁山清宫最好的英雄啊
[23:00-23:03] 这一招清宫这半年了吗
[23:03-23:05] 十千兄弟过年好啊
[23:05-23:06] 这叫什么话
[23:06-23:06] 哥哥
[23:06-23:07] 我这就带你出去
[23:07-23:08] 好
[23:08-23:09] 闲人闪开
[23:13-23:14] 哥你是不是吃胖了
[23:14-23:15] 绝对的
[23:15-23:15] 哎呀
[23:15-23:17] 最近在这牢房内食欲不好
[23:17-23:18] 根本吃不下呀
[23:18-23:20] 帝王献狗吃的
[23:20-23:22] 这土曹怪是
[23:22-23:23] 我来介绍
[23:23-23:25] 这位是土狗兄弟
[23:25-23:26] 二狗
[23:26-23:29] 这是咱们梁山第109位好汉
[23:29-23:29] 来了老弟
[23:29-23:31] 我没入伙呢
[23:31-23:33] 他今天会和咱们一起越狱
[23:33-23:33] 走
[23:33-23:34] 哎呀
[23:34-23:36] 我不走
[23:36-23:36] 二位英雄
[23:36-23:38] 我待了一个月我就放了
[23:38-23:39] 哎
[23:39-23:41] 那是因为你还不了解你十千哥哥
[23:41-23:43] 我为啥要了解十千啊
[23:43-23:44] 十千
[23:44-23:45] 在我们梁山上
[23:45-23:47] 那是响当当的小偷
[23:47-23:48] 有什么好骄傲的
[23:50-23:50] 拿着
[23:50-23:51] 不
[23:51-23:52] 我的钱袋
[23:52-23:52] 不是
[23:52-23:54] 你什么时候偷的呀
[23:54-23:54] 拿着
[23:54-23:56] 这也太快了吧
[23:56-23:57] 你离他远一点啊
[23:57-23:58] 这太可怕了
[23:58-23:59] 拿着
[23:59-24:00] 啥时候呀
[24:00-24:02] 这我的钱袋我装着
[24:02-24:03] 这不是我的钱袋吗
[24:03-24:04] 这是我的钱袋
[24:04-24:05] 司机人也偷啊
[24:06-24:06] 你看
[24:06-24:09] 十千兄弟又如此的身手
[24:09-24:10] 那他路过御族之时
[24:10-24:13] 怎会不拿那最重要的东西啊
[24:13-24:14] 得手了吧
[24:14-24:15] 当然了哥哥
[24:15-24:16] 拿着
[24:16-24:17] 有了这钥匙
[24:17-24:18] 拿钥匙吗
[24:18-24:18] 那这是
[24:18-24:19] 御族的钱袋
[24:19-24:21] 拿人钱袋干啥呀
[24:21-24:22] 哎
[24:22-24:24] 不要激动嘛奶狗兄弟
[24:24-24:25] 二狗
[24:25-24:27] 今天我们一定会带你出去的
[24:27-24:28] 出不去了
[24:28-24:29] 你俩自己都出不去
[24:29-24:31] 小看我们梁山好汉
[24:31-24:32] 半炷香以内
[24:32-24:34] 我没有带哥哥出去
[24:34-24:36] 花容将军自会联络我们
[24:36-24:38] 百步穿杨的神射手花容
[24:38-24:39] 这你也知道
[24:39-24:41] 莫不是你水壶卡集齐了
[24:41-24:42] 没少知面
