[00:00-00:01] 哪里 prze行得来啊
[00:01-00:03] 就看各位哪里来啊
[05:16-05:18] 但我是来杀你的
[05:24-05:25] 我俩
[05:27-05:29] 太不公平
[05:33-05:34] 爱和恨
[05:36-05:38] 全由你操纵
[05:39-05:41] 不
[05:41-05:44] 可今天
[05:44-05:45] 我已
[05:47-05:50] 离不开你
[05:51-05:53] 我不怕你
[05:54-05:57] 爱不爱
[05:58-06:02] 我
[06:18-06:19] 嘟啦叭啦叭啦
[06:23-06:24] 你让我笑起来
[06:25-06:26] 什么呢
[06:33-06:34] 我俩
[06:38-06:40] 我俩
[06:44-06:45] 大哥
[06:45-06:46] 大哥
[06:46-06:47] 我真的错了大哥
[06:47-06:49] 利用我的感性
[06:49-06:50] 延长生命
[06:50-06:51] 没有
[06:51-06:52] 骗我
[06:52-06:53] 我真的没有大哥
[06:53-06:54] 我最讨厌别人骗我的
[06:54-06:55] 你放我一边
[07:03-07:04] 你把吉他给我放下
[07:04-07:05] 把它
[07:08-07:09] 把它放下
[07:13-07:17] 我曾多少次梦见你
[07:17-07:19] 在徒劳
[07:19-07:20] 别唱了
[07:20-07:26] 梦见你那美丽的笑脸
[07:26-07:29] 太阳为你燃烧
[07:29-07:32] 月亮为你升起
[07:32-07:38] 星星还为你照亮眼
[07:45-07:46] 你这个人
[07:47-07:48] 你这个天
[07:48-07:50] 星星他为你
[07:50-07:51] 我咋样
[07:51-07:52] 我咋样咋样
[07:55-07:56] 大哥
[07:56-07:57] 要不咋的
[07:57-07:58] 就别这样了
[07:58-07:59] 咋样
[07:59-08:00] 怎么敢
[08:00-08:01] 怎么敢
[08:01-08:02] 怎么敢
[08:02-08:03] 怎么敢
[08:17-08:19] 各位亲爱的玩家
[08:19-08:23] 欢迎来到丧尸围城
[08:23-08:24] 在这里
[08:24-08:26] 有复杂烧脑的机关
[08:26-08:29] 和恐怖惊魂的丧尸
[08:30-08:32] 请大家睁大眼睛
[08:32-08:33] 看着我
[08:33-08:34] 我会为大家
[08:34-08:36] 做出最好的事
[08:36-08:37] 谢谢
[08:37-08:38] 谢谢
[08:38-08:39] 谢谢
[08:39-08:40] 谢谢
[08:40-08:41] 谢谢
[08:41-08:42] 谢谢
[08:42-08:43] 谢谢
[08:43-08:44] 谢谢
[08:44-08:45] 谢谢
[08:45-08:47] 睁大眼睛
[08:47-08:53] 开始你们的秘世冒险
[09:12-09:13] 降龙
[09:13-09:14] 张老师
[09:19-09:20] 降龙
[09:24-09:25] 是降龙吗
[09:28-09:29] 是那个表演学院
[09:29-09:30] 毕业的降龙吗
[09:31-09:32] 是融合过三号学生的
[09:32-09:33] 那个降龙吗
[09:35-09:37] 是那个不爱洗脚的降龙吗
[09:37-09:38] 是我
[09:38-09:39] 是我耳朵叫了一下
[09:41-09:42] 在这
[09:42-09:44] 您叫我丧尸26号就行了
[09:46-09:47] 降龙
[09:47-09:48] 张老师
[09:48-09:50] 您怎么来玩秘世逃脱呀
[09:50-09:52] 我的表演课代表
[09:53-09:56] 2012级最优秀的毕业生
[09:56-09:58] 我毕业大戏的男一号
[09:58-10:00] 在这里演丧尸
[10:00-10:01] 老师 我没戏排这两年
[10:01-10:02] 确实
[10:02-10:03] 演得真好
[10:09-10:11] 您是这个意思呀
[10:11-10:12] 不然呢
[10:12-10:13] 我还以为您觉得
[10:13-10:14] 我演丧尸丢人了呢
[10:15-10:16] 你把老师看小了
[10:18-10:19] 老师就是一个
[10:19-10:21] 喜欢尝试新鲜事物的人
[10:21-10:22] 怪不得您来玩这个呢
[10:22-10:23] 再说了
[10:23-10:24] 丧尸不是角色吗
[10:24-10:25] 对
[10:26-10:27] 没有小角色
[10:27-10:28] 只有小演员
[10:28-10:29] 只要用心来
[10:29-10:30] 付出事务才
[10:30-10:31] 你做到了
[10:36-10:37] 您教得好
[10:38-10:40] 真没想到能在这儿碰见你
[10:40-10:41] 老师
[10:41-10:42] 没想到也在这儿碰见您了
[10:42-10:43] 我真是
[10:43-10:44] 这一会儿都毕业多少年了
[10:44-10:45] 对 五六年了吧
[10:45-10:46] 也不说来看看老师
[10:46-10:48] 同学都火了我有点
[10:48-10:49] 星星都演什么了
[10:49-10:50] 非演丧尸
[10:51-10:53] 老师您快逃脱吧
[10:56-10:57] 逃脱
[10:58-10:59] 还跟你聊上了
[10:59-11:00] 没影响你工作吧
[11:00-11:01] 还行
[11:01-11:02] 那老师先走了
[11:02-11:03] 咱回头再聊了
[11:03-11:04] 老师 那是假门
[11:06-11:07] 门在这儿呢
[11:08-11:10] 这你不说老师上哪儿找去
[11:10-11:12] 别说我告诉您的
[11:15-11:16] 老师再见了
[11:17-11:18] 老师您慢走
[11:19-11:20] 水逆
[11:22-11:23] 这太射死了
[11:24-11:25] 不是 兄弟
[11:25-11:26] 咋样
[11:26-11:28] 我老师吓人吗
[11:33-11:34] 加劳
[11:38-11:39] 老师在警户那两句
[11:39-11:40] 你回来了
[11:40-11:41] 老师进不去了
[11:41-11:42] 就在这儿跟你说
[11:42-11:43] 别叫我
[11:43-11:44] 这边能进来
[11:44-11:45] 还能进来
[11:45-11:46] 这边
[11:46-11:47] 这儿有个门
[11:47-11:48] 这还有个门
[11:48-11:49] 设计的
[11:49-11:50] 你们这舞美可以
[11:50-11:51] 还行
[11:53-11:54] 蒋龙
[11:54-11:55] 老师
[11:55-11:56] 别叫我的大名了
[11:56-11:58] 丧尸二十六
[11:58-11:59] 好
[11:59-12:00] 蒋龙
[12:00-12:01] 老师是这样想的
[12:01-12:03] 前面有几关那个丧尸
[12:03-12:04] 演得非常认真
[12:04-12:05] 对
[12:05-12:06] 但都是行尸走肉
[12:06-12:07] 老师我们演的
[12:07-12:08] 就是行尸走肉
[12:10-12:11] 特定情境下
[12:11-12:12] 人物个性化
[12:12-12:13] 身段即身价
[12:13-12:14] 你要干啥
[12:17-12:18] 老师
[12:18-12:19] 想着能不能
[12:19-12:21] 让你再找点个性
[12:22-12:24] 在这儿找
[12:24-12:25] 不方便吗
[12:25-12:26] 这方便吗
[12:26-12:27] 那就行
[12:27-12:28] 不方便 老师
[12:28-12:29] 老师已经想好了
[12:29-12:30] 上班了
[12:30-12:31] 你应该塑造一个
[12:31-12:32] 专属于蒋龙的丧尸
[12:32-12:33] 别哭了
[12:33-12:34] 当别人一起到丧尸的时候
[12:34-12:35] 第一个想到的
[12:35-12:36] 那就得是蒋龙
[12:36-12:37] 干啥
[12:39-12:40] 蒋龙
[12:40-12:41] 老师 来吧
[12:41-12:42] 老师真高兴能再次
[12:42-12:43] 跟你共同创作
[12:43-12:44] 老师 来 快创我
[12:48-12:49] 老师
[12:49-12:50] 你要不快
[12:52-12:53] 快点创作
[12:55-12:57] 我是您觉得要
[13:00-13:02] 你不是会跳拉丁吗
[13:02-13:03] 拉丁
[13:04-13:05] 丧尸
[13:06-13:07] 很多丧尸演员
[13:07-13:09] 都要经过系统的舞蹈训练的
[13:09-13:10] 老师 咱们试试
[13:10-13:11] 这不太合适
[13:11-13:12] 演到
[13:12-13:14] 监控在这儿
[13:14-13:15] 讲
[13:19-13:20] 丧尸的感觉
[13:20-13:21] 触摸遍天
[13:21-13:22] 蒋龙
[13:22-13:23] 非常好
[13:26-13:27] 再一次
[13:29-13:30] 蒋龙
[13:31-13:32] 四侯
[13:32-13:33] 再给我一点丧尸的感觉
[13:33-13:34] 再给我
[13:43-13:44] 吓我一跳
[13:47-13:48] 真的吗
[13:50-13:52] 是不是跟前几关的丧尸不一样
[13:53-13:54] 不一样
[13:54-13:55] 具体哪里不一样
[13:56-13:57] 他烫头了
[14:03-14:04] 他是自来转
[14:05-14:06] 专业演员
[14:06-14:07] 是 别跟人聊了
[14:07-14:08] 叫蒋龙
[14:12-14:13] 他叫蒋龙
[14:13-14:14] 认识
[14:14-14:16] 我前两关一直听有人喊
[14:16-14:17] 蒋龙
[14:19-14:20] 我以为通关密码
[14:22-14:23] 把手机拿出来
[14:23-14:24] 上网可以搜到他
[14:24-14:25] 是吗
[14:25-14:26] 搜
[14:26-14:27] 这个奖
[14:27-14:28] 那这奖这别搜
[14:28-14:29] 是个演员
[14:29-14:30] 是
[14:30-14:31] 演过全职高手
[14:32-14:33] 还演过
[14:34-14:35] 熊孟演艺圈
[14:47-14:49] 辽宁省少儿拉丁舞比赛
[14:49-14:50] 二等奖
[14:51-14:52] 那我方不方便
[14:52-14:53] 我帮你
[14:53-14:54] 是
[14:55-14:56] 蒋龙
[14:58-14:59] 大方的
[15:00-15:01] 露个牙
[15:03-15:04] 谢谢
[15:09-15:10] 这
[15:11-15:12] 再见 蒋龙
[15:20-15:21] 非常好
[15:22-15:23] 那您就
[15:23-15:25] 老师对这个拉丁丧尸非常满意
[15:25-15:26] 那您就
[15:26-15:27] 咱们抓紧时间
[15:27-15:28] 加点音乐
[15:28-15:29] 老师想好了
[15:29-15:30] 应该给你找一个
[15:30-15:31] 悲壮一点的音乐
[15:31-15:32] 更能带动你的情绪
[15:33-15:34] 蒋龙别着急
[15:34-15:35] 还有人物小传呢
[15:35-15:36] 你看老师是这样设计的
[15:37-15:38] 一个
[15:39-15:40] 一个梦想着当演员
[15:41-15:42] 他来到密室工作
[15:42-15:43] 又碰见了自己的老师
[15:44-15:45] 突然爆发了丧尸病毒
[15:45-15:47] 你想想他应该是什么状态
[15:47-15:48] 张驰
[15:48-15:49] 老师
[15:50-15:51] 张老师
[15:51-15:52] 老师
[15:52-15:53] 求您让我逃脱吧
[15:57-15:58] 太尴尬了
[15:59-16:00] 蒋龙
[16:01-16:02] 你说什么呢
[16:03-16:05] 你忘了你刚入学的时候了
[16:05-16:07] 你说你是自来卷
[16:07-16:08] 结果你当着全校的师生
[16:08-16:10] 演了一根托把都没觉得丢人
[16:12-16:13] 之后
[16:13-16:15] 每年新生入学教育的时候
[16:15-16:16] 老师都会给他们讲
[16:16-16:18] 你演托把的故事
[16:28-16:29] 你不信
[16:30-16:31] 我
[16:37-16:38] 我懂了
[16:46-16:47] 射死了
[16:59-17:00] 老师
[17:00-17:01] 都过来
[17:02-17:03] 同学们
[17:03-17:04] 这就是我经常跟你们提到的
[17:04-17:05] 蒋龙师哥
[17:06-17:07] 师哥好
[17:07-17:08] 师哥好
[17:10-17:11] 蒋龙
[17:11-17:12] 朋友们
[17:14-17:15] 老师
[17:15-17:16] 这就是您说的托把师哥
[17:16-17:17] 就是他
[17:19-17:20] 还在戏里
[17:20-17:21] 还在戏里
[17:22-17:23] 看看蒋龙师哥
[17:23-17:25] 再想想你们自己吧
[17:25-17:26] 平时对于角色挑三拣四的
[17:26-17:27] 蒋龙师哥怎么不挑
[17:28-17:30] 因为他记住了老师的教诲
[17:31-17:32] 没有小角色
[17:33-17:34] 只有小演员
[17:34-17:35] 只要用心来
[17:35-17:37] 处处是舞台
[17:42-17:43] 进来
[17:46-17:47] 龙儿
[17:47-17:49] 把刚才那段拉丁丧尸
[17:49-17:50] 给大家欢迎一下
[17:54-17:55] 三
[17:55-17:56] 四
[17:56-17:57] 五
[17:57-17:58] 二
[17:58-17:59] 三
[17:59-18:00] 四
[18:00-18:01] 三
[18:01-18:02] 四
[18:02-18:03] 五
[18:03-18:05] 老师就说没有音乐杆吧
[18:07-18:08] 不是
[18:15-18:16] 蒋龙
[18:18-18:19] 别着急
[18:21-18:22] 丧尸的病毒正在你体内
[18:22-18:23] 慢慢地爆发
[18:23-18:25] 你正在跟自己做挣扎
[18:26-18:27] 是人性
[18:27-18:29] 还是丧尸
[18:29-18:31] 你正在做最后的抵抗
[18:32-18:34] 但是你不能忘记你的名字
[18:35-18:36] 蒋
[18:36-18:41] 龙
[18:53-18:55] 叮咚
[18:55-18:59] 叮啦叮咚
[18:59-19:00] 非常好
[19:14-19:15] 落泪了
[19:16-19:17] 我一定要把这段视频
[19:17-19:19] 发到全校大群里面
[19:21-19:22] 出息了
[19:22-19:23] 出息了
[19:23-19:24] 可以出息了
[19:24-19:25] 孩子
[19:25-19:26] 各位玩家
[19:26-19:29] 请继续往前走
[19:29-19:33] 前面还有很多精彩的关节
[19:35-19:36] 这个声音
[19:37-19:39] 零七级的顾雨峰
[19:39-19:40] 您的台词可带了
[19:41-19:43] 台词全都还给我了
[19:43-19:44] 您得给他调调
[19:44-19:45] 走
[19:45-19:46] 老师这边
[19:46-19:47] 好
[19:47-19:48] 就他
[19:52-19:53] 好
[20:10-20:12] 女精人公子高领见
[20:12-20:14] 来 不好意思打断一下
[20:14-20:15] 张驰
[20:15-20:17] 你除了京剧还会点别的才艺吗
[20:18-20:19] 我还能再长一个调
[20:19-20:21] 这跟调门没关系
[20:21-20:23] 你现在京剧传播太难了
[20:23-20:24] 观众都不爱听
[20:24-20:26] 你这样连海选都过不了
[20:26-20:28] 会唱歌吗
[20:28-20:29] 会
[20:31-20:34] 我想摸你的头发只是
[20:34-20:35] 好 谢谢
[20:35-20:36] 会什么乐器吗
[20:40-20:41] 口罩不算
[20:41-20:42] 你下来
[20:42-20:43] 我们再商量商量吧
[20:43-20:44] 导演 我还会淡决的
[20:44-20:45] 你下来吧
[20:45-20:46] 花脸
[20:46-20:47] 下来下来来
[20:47-20:48] 小花脸
[20:48-20:49] 你给我下来
[20:49-20:51] 哪个导演找的
[20:51-20:52] 这年头京剧谁听啊
[20:54-20:56] 张驰小心你头上的刀
[21:10-21:12] 我这是哪儿啊
[21:14-21:16] 这不是我小时候那厨子屋吗
[21:16-21:17] 不对不对不对
[21:17-21:18] 我捋一下
[21:18-21:20] 我刚才一下台
[21:20-21:22] 就被一个灯砸了
[21:22-21:23] 然后突然一个来
[21:23-21:24] 就给我劈到小时候
[21:24-21:25] 这个厨子屋里了
[21:26-21:30] 这不会是真人笑
[21:31-21:32] 摄像机在哪儿呢
[21:34-21:36] 这是我小时候做的模型
[21:36-21:37] 你们怎么找到的
[21:37-21:38] 太厉害了
[21:39-21:42] 这是我小时候亮过的地毯
[21:43-21:44] 我小时候创新的地毯
[21:44-21:46] 我小时候创新的剧照
[21:46-21:48] 我小时候创新的刑道
[21:48-21:50] 还有我小时候
[21:53-21:54] 我小时候
[22:14-22:15] 这不会是
[22:16-22:17] 小偷
[22:18-22:19] 不是不是
[22:21-22:22] 不是真人笑
[22:22-22:23] 你怎么进来的
[22:24-22:25] 不是
[22:26-22:28] 2011年
[22:28-22:29] 不可能
[22:32-22:33] 这个椅子你不能拿
[22:33-22:34] 小偷
[22:34-22:35] 你还强狂着强盗啊你
[22:38-22:39] 你这小偷
[22:39-22:40] 你这小偷
[22:40-22:41] 你这小偷
[22:41-22:42] 你这小偷
[22:42-22:43] 你这小偷
[22:44-22:45] 萌萌照片
[22:45-22:46] 对 你不可能
[22:48-22:49] 我穿越了
[22:49-22:50] 我就知道你会这么说
[22:51-22:52] 不是 你听我说
[22:52-22:53] 你是不是想说
[22:53-22:54] 这曾经是你家
[22:54-22:55] 我真的是
[22:55-22:56] 你是不是还想说
[22:56-22:57] 你是从未来过来的
[22:57-22:58] 你是不是还想说
[22:58-22:59] 你是未来的我
[22:59-23:00] 我知道这很难相信
[23:00-23:01] 但我真的不相信
[23:02-23:04] 这么容易就相信了吗
[23:04-23:06] 只有我知道萌萌照片在哪儿
[23:07-23:09] 不愧是我
[23:10-23:11] 终于发生在我身上了
[23:11-23:12] 我就知道
[23:12-23:13] 知道有穿越这回事了
[23:15-23:16] 你是从20年后回来的吗
[23:16-23:17] 我是10年后
[23:20-23:21] 我有这么老吗
[23:22-23:23] 些许苍老
[23:25-23:26] 你回来得正好
[23:26-23:27] 我有事这样问你呢
[23:27-23:28] 什么事
[23:28-23:29] 哥
[23:29-23:30] 叔叔
[23:30-23:31] 大我
[23:33-23:34] 我马上就考试去了
[23:35-23:36] 我考上了吗
[23:36-23:37] 考上了
[23:37-23:38] 哪个学校
[23:38-23:39] 戏曲学院
[23:42-23:43] 大我
[23:43-23:44] 我后来谈恋爱了吗
[23:44-23:45] 谈了
[23:45-23:46] 是萌萌吗
[23:46-23:47] 是的
[23:47-23:48] 但是后来分手了
[23:49-23:50] 谈过就行
[23:54-23:55] 大我
[23:56-23:57] 我
[23:57-23:59] 后来成绝了吗
[23:59-24:00] 没有
[24:03-24:06] 没有什么能够阻挡
[24:07-24:11] 我们成绝的梦想
[24:12-24:14] 想
[24:16-24:17] 我就知道
[24:18-24:20] 一剑弓就刀零剑
[24:20-24:22] 不由得本公洗心间
[24:22-24:24] 斩立功啊
[24:24-24:30] 们叫小方
[24:31-24:32] 好了
[24:35-24:36] 听我的
[24:36-24:38] 考试的时候千万别唱这一段
[24:38-24:39] 还差一点 我再练练
[24:39-24:40] 差得很多
[24:40-24:41] 我再练一下
[24:41-24:43] 长大后能好一些吗
[24:44-24:45] 那当然了
[24:45-24:47] 我能听一下
[24:47-24:48] 听好了
[24:50-24:52] 一剑弓就刀零剑
[24:52-24:54] 不由得本公洗心间
[24:54-24:56] 斩立功啊
[24:56-25:02] 们叫小方
[25:08-25:09] 太厉害了
[25:09-25:10] 太厉害了
[25:10-25:12] 就知道我能唱上去
[25:12-25:14] 我唱的歌太好听了
[25:14-25:15] 是不是
[25:15-25:17] 我能再自我欣赏一下吗
[25:17-25:18] 也就我自己爱听
[25:19-25:21] 斩立功啊
[25:21-25:26] 们叫小方
[25:28-25:29] 紧张了
[25:29-25:33] 叫小方
[25:33-25:34] 烦
[25:36-25:37] 烦
[25:37-25:38] 烦
[25:38-25:39] 烦死了
[25:42-25:44] 我怎么唱不上去了
[25:46-25:47] 你是不是懈怠了
[25:48-25:49] 没有啊
[25:51-25:52] 台上你还这么胖
[25:52-25:53] 你台下十年功
[25:53-25:54] 你躺着干什么你
[25:54-25:56] 我以为能唱《骄傲》了一下
[25:56-25:57] 再练
[25:57-26:01] 叫小方
[26:01-26:02] 我不能吓喊
[26:03-26:04] 小方
[26:04-26:05] 出点位置
[26:05-26:06] 小方
[26:06-26:07] 叫小方回嗓子
[26:07-26:08] 别唱了
[26:11-26:13] 我怎么变成这个声音了
[26:13-26:14] 我在练
[26:14-26:15] 对不起
[26:15-26:16] 烦
[26:16-26:17] 小方
[26:17-26:18] 行行行
[26:18-26:19] 别唱了
[26:21-26:23] 你得用方法
[26:23-26:25] 对 用方法
[26:25-26:27] 小方
[26:27-26:28] 队长你用了方法
[26:28-26:29] 这么立竿见影吗
[26:34-26:36] 好神奇啊
[26:37-26:38] 我一这什么
[26:38-26:40] 你就那什么了
[26:43-26:44] 这个穿越音你咋
[26:44-26:45] 干啥啊
[26:45-26:46] 有小孩呢
[26:46-26:47] 流血了都
[26:47-26:49] 有吧 有吧
[26:49-26:51] 这么神奇吗
[26:53-26:55] 那要这么说的话
[26:55-26:56] 只能是
[26:56-26:57] 这么说的话
[26:57-26:59] 只要你一想
[26:59-27:01] 我就能会唱歌
[27:01-27:02] 只要你一想
[27:02-27:03] 我就会乐器
[27:03-27:04] 只要你一想
[27:04-27:05] 我就不用唱戏了
[27:05-27:06] 不行
[27:07-27:08] 那重新想想
[27:08-27:09] 只要你一想
[27:09-27:10] 我不想了
[27:11-27:12] 京剧
[27:12-27:14] 乃我这一生之爱
[27:14-27:16] 怎能轻言放弃
[27:16-27:18] 对不起了小赵池
[27:18-27:20] 我这次来
[27:20-27:22] 我必须抓住这个机会改号
[27:28-27:29] 孩子
[27:29-27:30] 不是 那个
[27:30-27:31] 弟弟
[27:31-27:32] 不是
[27:32-27:33] 小我
[27:36-27:37] 哪个人呢
[27:37-27:38] 我
[27:38-27:39] 我
[27:39-27:40] 我
[27:40-27:41] 我
[27:41-27:42] 我
[27:42-27:43] 我
[27:43-27:44] 我
[27:44-27:45] 我
[27:45-27:46] 哪个人呢
[27:46-27:48] 这么喜欢唱戏吗
[27:48-27:50] 不 是热爱
[27:50-27:51] 你可知道
[27:51-27:52] 我这些年唱戏
[27:52-27:54] 我身上我受了多受的伤
[27:54-27:56] 我受伤了
[27:56-27:57] 我这腿
[27:57-27:58] 这胳膊
[27:58-27:59] 这
[27:59-28:00] 你看这手
[28:00-28:01] 这手
[28:01-28:02] 这不刚咬的吗
[28:02-28:03] 我还有内伤呢
[28:03-28:05] 心灵的创伤呢
[28:05-28:06] 怎么了
[28:07-28:08] 是不是这些年
[28:08-28:10] 一直天天想着练功
[28:10-28:11] 是吧
[28:11-28:12] 然后我就没有时间
[28:12-28:13] 我就没有时间陪萌萌
[28:13-28:15] 这萌萌这不就跟别人跑了吗
[28:16-28:17] 她是跟别人跑的
[28:17-28:18] 她怎么这
[28:18-28:19] 跟谁
[28:19-28:20] 就是
[28:22-28:23] 说算了不少
[28:23-28:24] 不说
[28:26-28:27] 就是那个
[28:27-28:28] 谁
[28:28-28:29] 说了你也不能信
[28:29-28:31] 我信你说呀你这
[28:31-28:33] 她跟一个学唱歌的跑了
[28:34-28:36] 她怎么能跟学唱歌的跑呢
[28:36-28:37] 谁知道了
[28:38-28:39] 咱俩也会唱歌
[28:39-28:41] 我想摸你的头发
[28:41-28:43] 这是简单的试探
[28:45-28:47] 萌萌就是这么被吓跑的
[28:48-28:50] 长大的没有好一点萌萌
[28:50-28:52] 我想摸你的头发
[28:52-28:53] 行行行
[28:53-28:54] 那怎么办
[28:54-28:56] 我总不能去学唱歌去
[28:56-28:58] 咱这不都是为了萌萌吗
[29:00-29:01] 为了萌萌
[29:02-29:03] 我学
[29:05-29:06] 我学
[29:06-29:07] 我学
[29:07-29:08] 我学
[29:10-29:11] 我想
[29:12-29:14] 我想摸你的头发
[29:14-29:17] 只是简单的试探
[29:20-29:22] 我想给你个拥抱
[29:22-29:25] 像朋友一样可以吗
[29:25-29:26] 不可以
[29:27-29:28] 不想唱歌
[29:28-29:29] 这不对
[29:29-29:31] 怎么不好听呢
[29:31-29:32] 你不相信我
[29:32-29:33] 我穿越都信你
[29:33-29:34] 这你不信
[29:34-29:35] 我信
[29:37-29:38] 你
[29:38-29:42] 你推板步的动作认真的吗
[29:42-29:46] 小小的动作伤害还那么大
[29:46-29:49] 我只能扮演个诗诗
[29:49-29:52] 才能和你说说你在想什么
[29:52-29:54] 我在想丹姐会不会温柔一些呢
[29:54-29:55] 不会
[29:55-29:56] 不行
[29:56-29:58] 不能唱歌的唱歌发声位置都不一样
[29:58-30:00] 不是咱这都是为了萌萌
[30:00-30:01] 没有别的办法吗
[30:01-30:02] 别的你
[30:03-30:07] 除非要是能会点乐器什么的
[30:09-30:10] 好像不算
[30:10-30:11] 不算
[30:13-30:14] 我记得小时候
[30:14-30:17] 王叔送过咱一把小吉吉
[30:20-30:22] 刚是没给我供了
[30:22-30:23] 我也没来得及练
[30:23-30:24] 现在敢看吗
[30:26-30:28] 原来这是一把吉他
[30:28-30:30] 这是吉他
[30:30-30:31] 学
[30:35-30:36] 你根本就没学
[30:36-30:37] 你别惦念了
[30:37-30:39] 那萌萌可不跟别人牵小手了
[30:39-30:40] 学
[30:48-30:53] 我曾多少次梦见你啊姑娘
[30:53-30:55] 笑得不错啊
[30:55-30:59] 梦见你那美丽的笑脸
[30:59-31:00] 你敢笑什么
[31:00-31:01] 我就是
[31:01-31:02] 先走了
[31:02-31:05] 还要为你燃烧
[31:05-31:07] 月亮为你盛更
[31:07-31:08] 彩更彩更
[31:08-31:09] 香香
[31:09-31:11] 它为你呀炸呀
[31:11-31:12] 那么炸
[31:12-31:14] 一眼
[31:14-31:16] 登场
[31:20-31:22] 你把彩给我放下来
[31:22-31:23] 我放下来
[31:23-31:24] 我不想学弹吉的
[31:24-31:25] 这都晃范
[31:25-31:26] 我没法唱戏
[31:26-31:27] 这让萌萌不就跟别人跑了吗
[31:27-31:28] 算了
[31:28-31:31] 看来我跟萌萌可能不太合适
[31:31-31:33] 我还是好好学唱戏吧
[31:33-31:34] 不是
[31:34-31:35] 就你这样的唱戏
[31:35-31:36] 能有什么出息
[31:42-31:43] 你骗我
[31:43-31:44] 不是
[31:44-31:46] 根本不是为了萌萌
[31:46-31:49] 是你不想让我学唱戏的是吗
[31:50-31:51] 你听我说
[31:51-31:52] 你说
[31:52-31:53] 其实我
[31:53-31:54] 你说
[31:55-31:56] 这才行啊
[31:57-31:58] 我实话跟你说吧
[31:59-32:01] 我现在过得特别惨
[32:01-32:04] 现在唱戏有人听得没人懂
[32:05-32:06] 为了赚钱
