[00:00-00:02] 谢谢 谢谢
[00:02-00:04] 很多朋友经常会问我说
[04:18-04:20] 至上你说这人是不是有点傻呀
[04:22-04:24] 我说你这说的是董宇辉吗
[04:26-04:28] 是我是肯定没法跟董宇辉比
[04:28-04:30] 但确实我们老板在所有人都心疼董宇辉的时候
[04:30-04:32] 就说你这说的是董宇辉吗
[04:32-04:34] 是我是肯定没法跟董宇辉比
[04:34-04:36] 但是在所有人都心疼董宇辉的时候
[04:36-04:38] 他跟于敏弘共情啊
[04:40-04:42] 在那儿共情自身都不容易
[04:42-04:44] 那段时间我们老板对我就更好了
[04:44-04:46] 感觉我们公司马上要推出一个新的项目
[04:46-04:48] 叫与圣同行
[04:54-04:56] 我没事还得在那安慰他
[04:56-04:58] 我说老板你也别紧张
[04:58-05:00] 咱们公司又不带货
[05:00-05:02] 你这个货我也带不动
[05:04-05:06] 你又不是海天有机酱油
[05:06-05:08] 三方有机的那种全场可追逐
[05:08-05:10] 健康又美会
[05:10-05:12] 这货多好带呀
[05:16-05:18] 这个节目叫talk show和他的朋友们
[05:18-05:20] 他在我看来就叫talk show甄选
[05:22-05:24] 目的就是为了去生化
[05:26-05:28] 朋友们你知道吗
[05:28-05:30] 我其实挺紧张的
[05:30-05:32] 因为我读过历史
[05:32-05:34] 我还没下场呢
[05:42-05:44] 就是贡献越大结局越差
[05:44-05:46] 我的前辈们
[05:46-05:48] 韩信
[05:48-05:50] 奥拜
[05:50-05:52] 年更遥
[05:54-05:56] 我现在也在公司做到了牛马的天花板
[05:58-06:00] 公司首席牛马官
[06:00-06:02] 牛马哦
[06:06-06:08] 我能想到的结局可能都是
[06:08-06:10] 公司给我说说致胜
[06:10-06:12] 你最近也挺红的
[06:12-06:14] 公司再赏你一瓶赫鼎红吧
[06:14-06:16] 所以你也别担心
[06:16-06:18] 公司里跟你关系好的那几个
[06:18-06:20] 每人一瓶让他们赶紧
[06:20-06:22] 与生同行
[06:22-06:24] 谢谢大家我是致胜
[06:24-06:26] 大家好
[06:28-06:30] 大家好我是致胜
[06:30-06:32] 大家好
[06:34-06:36] 才两天咱们这个
[06:36-06:38] 节目官宣演员的时候
[06:38-06:40] 下面还有评论说说怎么看
[06:40-06:42] 个talk show还有徐致胜啊
[06:42-06:44] 能不能点请
[06:44-06:46] 这些综艺咖来啦
[06:48-06:50] 让talk show
[06:50-06:52] 赌美
[06:52-06:54] 大家都把我忘了吗
[06:54-06:56] 我是talk show绝美呀
[06:58-07:00] 才是一家人呀
[07:00-07:02] 回来认真认真写稿
[07:02-07:04] 还把稿给呼兰哥看
[07:04-07:06] 呼兰哥说
[07:06-07:08] 这也没你在外面唱歌好笑呀
[07:14-07:16] 真的我在外面干点啥丢人的事
[07:16-07:18] 他们都觉得好笑
[07:18-07:20] 就我丢人了都不用看微博
[07:20-07:22] 我发截屏发过来了
[07:22-07:24] 就是好事从来没人给我发
[07:24-07:26] 才我不喜欢
[07:26-07:28] 我说你们别老盯着我这些事看
[07:28-07:30] 他说也不是我们想看
[07:30-07:32] 系统推荐的才我喜欢
[07:38-07:40] 给我发消息最多的那次
[07:40-07:42] 就是我跟着刘功宏
[07:42-07:44] 跳操的那次
[07:44-07:46] 那时候是跟着
[07:46-07:48] 功宏哥去新疆跳操
[07:48-07:50] 天然氧巴
[07:50-07:52] 我跳了三分钟缺氧了
[07:54-07:56] 我还在那问了
[07:56-07:58] 咱几点结束呀
[07:58-08:00] 功宏哥说天黑就结束
[08:00-08:02] 我以为是八点
[08:02-08:04] 谁知道新疆十点天才黑呀
[08:06-08:08] 但我确实八点就看见星星了
[08:12-08:14] 我还在那里跳蛇舞
[08:14-08:16] 真的跳蛇舞
[08:16-08:18] 我跳蛇舞就是一个扭曲呀
[08:18-08:20] 我跳的时候
[08:20-08:22] 我就觉得我有毒
[08:28-08:30] 但你也很难
[08:30-08:32] 打到我
[08:32-08:34] 因为你根本找不到我的七寸
[08:36-08:38] 真的当时跳崩溃了
[08:38-08:40] 最后我在那里跳
[08:40-08:42] 本草纲目的时候
[08:42-08:44] 我都绝望了
[08:44-08:46] 我听了那个歌词
[08:46-08:48] 如果华佗在世
[08:48-08:50] 我说
[08:50-08:52] 那我也很难被遗址
[09:02-09:04] 回来写稿压力确实大
[09:04-09:06] 都失眠了
[09:06-09:08] 躺床上睡不着觉
[09:08-09:10] 我都生气我就特别怀念
[09:10-09:12] 上大学的时候老是不让睡都能睡着
[09:12-09:14] 上午第一节课
[09:14-09:16] 前十分钟吃个包子倒头就睡
[09:16-09:18] 老师都急了
[09:18-09:20] 说这不刚醒吗
[09:22-09:24] 而且上的课越拿你睡得越香
[09:24-09:26] 高速课永远是睡得最香的
[09:28-09:30] 起来一看下节课量子无理
[09:30-09:32] 说今天应该能进入深度睡眠
[09:38-09:40] 有时候赶上课说白天我就把
[09:40-09:42] 八个小时睡满了
[09:44-09:46] 那个时候都得极力控制自己
[09:46-09:48] 不让自己睡
[09:48-09:50] 都不让自己睡在那瞪着个眼
[09:50-09:52] 最后都开始翻白眼了
[09:52-09:54] 老师都紧张了
[09:54-09:56] 说我这是选修课
[09:56-09:58] 你可变真修课呀
[10:10-10:12] 最后都控制不了了
[10:12-10:14] 那都不直接睡
[10:14-10:16] 说我闭上眼听会儿
[10:20-10:22] 再睁开眼的时候都懵了
[10:22-10:24] 说这怎么周围同学我都不认识了
[10:30-10:32] 我当时又在那儿听不懂
[10:32-10:34] 走不了还睡不着了
[10:36-10:38] 真的失眠失眠还去看中医了
[10:38-10:40] 当时给人一说失眠
[10:40-10:42] 约好第二天十点半
[10:42-10:44] 结果第二天睡过头了
[10:44-10:46] 睡了十个半小时
[10:46-10:48] 起来都懵了
[10:48-10:50] 说这中医师厉害啊
[10:50-10:52] 约个时间给我治好了
[10:58-11:00] 去了那儿还给我把脉
[11:00-11:02] 就能给我把脉说
[11:02-11:04] 你这平时是不是能给人提供情绪价值
[11:04-11:06] 我说你这是什么
[11:06-11:08] 你这是什么脉象看出来的
[11:08-11:10] 他说不是我看过你中医
[11:14-11:16] 跟我说你生活是不是平常比较压抑
[11:16-11:18] 我说你这也是中医上看的
[11:18-11:20] 他说不是这是弹幕发的
[11:24-11:26] 关键的他还老在那儿给我打听
[11:26-11:28] 老在那儿给我打听说
[11:28-11:30] 广治咋样呀
[11:30-11:32] 湖南咋样呀
[11:32-11:34] 把我都问急了
[11:34-11:36] 你这到底给我把的什么脉
[11:36-11:38] 我的人脉吗
[11:50-11:52] 真的把他说不好意思了
[11:52-11:54] 开始问我
[11:54-11:56] 问点正经的说你平常喝酒吗
[11:56-11:58] 我说偶尔喝
[11:58-12:00] 他说哦
[12:00-12:02] 那你都是跟谁喝
[12:04-12:06] 我最后还查出来问题了
[12:06-12:08] 查出来高血压
[12:08-12:10] 我真的我从来没想过我自己有高血压
[12:10-12:12] 虽然我平时
[12:12-12:14] 确实会经常感到到眩晕
[12:14-12:16] 但我一直觉得那是我飘了
[12:20-12:22] 就是医生当时都不敢相信
[12:22-12:24] 在那儿给我量完血压说你165
[12:24-12:26] 我说啥呀
[12:26-12:28] 我171.6
[12:28-12:30] 我现在觉得我的抗压能力变得特别强
[12:30-12:32] 就说现在无论外加的压力有多大
[12:32-12:34] 我都知道我体内有165的高血压
[12:34-12:36] 给它对冲
[12:36-12:38] 就现在怎么说呢我面对压力特别有冲劲
[12:38-12:40] 谢谢大家我是志成
[12:40-12:42] 这人气谁敢挑战呀
[12:42-12:44] 回来了
[12:44-12:46] 回来了
[12:46-12:48] 真的之前确实是
[12:48-12:50] 我以前的压力
[12:50-12:52] 我以前的压力
[12:52-12:54] 我以前的压力
[12:54-12:56] 我以前的压力
[12:56-12:58] 回来了真的
[12:58-13:00] 之前确实一直在跨界嘛
[13:00-13:02] 是因为脱口秀有一段时间确实没什么火
[13:02-13:04] 然后我朋友就跟我说
[13:04-13:06] 志成你在外边好好发展
[13:06-13:08] 你要相信脱口秀一定会好的
[13:08-13:10] 我就在外边开始
[13:10-13:12] 接中医演电视
[13:12-13:14] 甚至当上了男一号
[13:18-13:20] 就说脱口秀会不会好
[13:20-13:22] 我是不知道
[13:22-13:24] 我是越来越好了呀
[13:26-13:28] 脱口秀再不好呀
[13:28-13:30] 我可能马上要拿金鸡奖了
[13:34-13:36] 领奖词我都想好了
[13:36-13:38] 就是我的成功离不开脱口秀的离开
[13:46-13:48] 害怕
[13:48-13:50] 他那个气力很大
[13:50-13:52] 动作老年
[13:52-13:54] 确实去年很多人都说
[13:54-13:56] 我最大的突破就是挤进了演艺圈
[13:56-13:58] 现在给大家说一声
[13:58-14:00] 又被挤出来了
[14:00-14:02] 因为演戏真的太难了
[14:02-14:04] 我在演戏之前特意还报了个班
[14:04-14:06] 老师让我演了一下
[14:06-14:08] 说根据我演的确定教课内容
[14:08-14:10] 演完之后老师都沉默了
[14:10-14:12] 说志成咱们接下来可能主要学的内容
[14:12-14:14] 是如何面对网友的恶评
[14:20-14:22] 真的不会演戏就会演脱口秀
[14:22-14:24] 刚开始演戏的时候
[14:24-14:26] 台词但凡长一点
[14:26-14:28] 我这个手不自觉的就举到这儿了
[14:32-14:34] 也不看对手演员了
[14:34-14:36] 开始找观众
[14:36-14:38] 导演都急了
[14:38-14:40] 我在那说卡 我在那谢谢大家
[14:40-14:42] 我是志成
[14:48-14:50] 演戏还得贴合角色
[14:50-14:52] 我当时演青鱼年的时候
[14:58-15:00] 我当演青鱼年的时候大家都很担心
[15:00-15:02] 就害怕我演范贤
[15:04-15:06] 说我容易把范贤演成贤范
[15:08-15:10] 还有人把我的海报给披了一下
[15:10-15:12] 披成徐志成试演范贤
[15:12-15:14] 下半还有人在那问
[15:14-15:16] 说这是什么版本的青鱼年
[15:16-15:18] 什么版本的青鱼年呀
[15:18-15:20] 说这是打算在越南上映的青鱼年
[15:24-15:26] 最可怕的是第一集
[15:26-15:28] 范贤还死了
[15:28-15:30] 大家真的担心了
[15:30-15:32] 说第二集范贤不会变成徐志成走出来了吧
[15:36-15:38] 当时去演的时候导演还跟我说
[15:38-15:40] 志成这是大场面
[15:40-15:42] 500个群演
[15:42-15:44] 我当时都担心了
[15:44-15:46] 我说我这能压得住吗
[15:46-15:48] 去了发现我是5%1
[15:52-15:54] 在那演个舒死
[15:54-15:56] 真的 总共就七句台词
[15:56-15:58] 在那
[15:58-16:00] 小范大人 小范大人来了
[16:02-16:04] 这就两句了
[16:06-16:08] 就这网友还吐槽了
[16:08-16:10] 说一个江南小丽
[16:10-16:12] 一口的山东口音
[16:14-16:16] 我在那演委屈
[16:16-16:18] 我说我们山东人在哪不考公务员
[16:38-16:40] 我快出来的时候
[16:40-16:42] 弹幕也多了
[16:42-16:44] 全是前方高能
[16:46-16:48] 注意避险
[16:50-16:52] 我出来的时候弹幕更多了
[16:52-16:54] 把我的脸全给挡住了
[16:56-16:58] 演完《青余年》
[16:58-17:00] 我就去演男一号了
[17:02-17:04] 大家更不理解了
[17:04-17:06] 说腾讯
[17:06-17:08] 你是真饿了
[17:08-17:10] 甚至都开始有人传了
[17:10-17:12] 说我是腾讯太子
[17:18-17:20] 大家真的别乱传
[17:20-17:22] 父王会不开心的
[17:30-17:32] 别人在那演戏
[17:32-17:34] 都是完了
[17:34-17:36] 演员和导演被资本绑架了
[17:36-17:38] 我在那演戏都是完了
[17:38-17:40] 资本被徐志生绑架了
[17:42-17:44] 这种回应能力也没这样的难一号
[17:44-17:46] 当时我们是在一个村里拍戏
[17:46-17:48] 一个大妈非得抽过来看
[17:48-17:50] 还有人男的不让看
[17:50-17:52] 大妈急了一指我
[17:52-17:54] 说他是哪个村的他怎么能看
[17:58-18:00] 演戏也是
[18:00-18:02] 我在那刚演完一场
[18:02-18:04] 在那休息了
[18:04-18:06] 一个群演大哥抽过来说
[18:06-18:08] 没想到你台词还挺多的
[18:10-18:12] 男一号
[18:12-18:14] 还要给我找替身
[18:14-18:16] 找替身
[18:16-18:18] 我找替身不容易啊
[18:18-18:20] 导演还把照片给人家
[18:20-18:22] 说你就按这个找
[18:22-18:24] 人家说这个在我们这就是替身
[18:28-18:30] 这个剧马上也要播了
[18:30-18:32] 网友都表示
[18:32-18:34] 害怕
[18:34-18:36] 自己想看
[18:36-18:38] 所以回来讲特别秀
[18:38-18:40] 真的是很开心
[18:40-18:42] 但就有一点不太习惯
[18:42-18:44] 讲完之后没人喊他
[18:44-18:46] 实在是不知道该不该结束
[18:46-18:48] 谢谢大家 我是志生
[18:52-18:54] 大家好 我是志生
[18:56-18:58] 很开心来到咱们
[18:58-19:00] 清清松松喜剧节
[19:00-19:02] 但其实我真的不是很轻松
[19:02-19:04] 最近一直在忙着拍戏
[19:04-19:06] 也是没想到
[19:06-19:08] 踏出脱口询之后
[19:08-19:10] 踏进的竟然是影视圈
[19:10-19:12] 踏进影视圈一台都发现
[19:12-19:14] 肉食动物和童帽男也在呢
[19:20-19:22] 真的当时我都懵了
[19:22-19:24] 我说肉食动物就算了
[19:24-19:26] 怎么童帽男又来了
[19:26-19:28] 他又来了
[19:30-19:32] 大家可能也听说了
[19:32-19:34] 这次确实演男一号了
[19:36-19:38] 真的 这个角色当时找我的时候
[19:38-19:40] 我也很诧异
[19:40-19:42] 我说我也不会演戏
[19:42-19:44] 导演说志生没事
[19:44-19:46] 这个角色特别贴合你
[19:46-19:48] 这个角色他不好看
[19:52-19:54] 我说然后呢
[19:54-19:56] 我说我好够吗
[19:56-19:58] 而且当时只公布了男一号
[19:58-20:00] 是因为
[20:00-20:02] 女主角实在是太难找了
[20:02-20:04] 导演都懵了
[20:04-20:06] 怎么一听和志生他
[20:06-20:08] 都找到工作了
[20:10-20:12] 甚至还有女主角找关系
[20:12-20:14] 说我能不能不演
[20:14-20:16] 说只要不让我们演
[20:16-20:18] 我们可以待之不尽主
[20:24-20:26] 我心想这种情况不应该
[20:26-20:28] 因为我之前参加桃花雾的时候
[20:28-20:30] 不有好多人都说我是理想型男友吗
[20:34-20:36] 真的就说我能提供情绪价值
[20:36-20:38] 最开始我看到别人说我是理想型的时候
[20:38-20:40] 我也是很懵的
[20:40-20:42] 你要知道以前的理想型
[20:42-20:44] 就是万千少女的理想型
[20:44-20:46] 那个都是刘德华 林志颖
[20:46-20:48] 现在徐志胜
[20:48-20:50] 你就感觉万千少女的理想型
[20:50-20:52] 是什么
[20:52-20:54] 徐志胜
[20:54-20:56] 你就感觉万千少女她想着想着
[20:56-20:58] 她想不开了
[21:00-21:02] 如果有人跟你说她的理想型
[21:02-21:04] 是刘德华
[21:04-21:06] 你会感觉她痴心妄想
[21:06-21:08] 如果有人跟你说她的理想型
[21:08-21:10] 是徐志胜
[21:10-21:12] 你感觉她受过伤
[21:16-21:18] 其他的理想型
[21:18-21:20] 帅气型的 冷酷型的
[21:20-21:22] 秋裤型的
[21:22-21:24] 就是穿着出去丢人
[21:24-21:26] 不穿又冷
[21:28-21:30] 我一直觉得
[21:30-21:32] 只有一种人会把我当成理想型男友
[21:32-21:34] 就是那种想找个老实人嫁了的
[21:36-21:38] 我说怎么现在娱乐圈
[21:38-21:40] 就我一个人看着老实吗
[21:42-21:44] 最开心的这个事最开心的就是我女朋友
[21:44-21:46] 什么也没干
[21:46-21:48] 自己的男朋友突然变成了理想型
[21:48-21:50] 还给我发信息说没想到你还是个养成系男友
[21:54-21:56] 这你也要理解
[21:56-21:58] 因为我女朋友也没想到大家对她的态度
[21:58-22:00] 会突然由同情
[22:00-22:02] 变成了羡慕
[22:02-22:04] 就以前大家见我女朋友
[22:04-22:06] 问的都是说你真的就这么喜欢她的才华吗
[22:08-22:10] 现在大家再见我女朋友
[22:10-22:12] 问的都是说
[22:12-22:14] 你是怎么一下子就发现她身上有这么多才华的
[22:14-22:16] 我女朋友她说
[22:16-22:18] 当时就看着她就琢磨说
[22:18-22:20] 这个人他总得有点啥吧
[22:26-22:28] 而且还有一件事特别让我震惊
[22:28-22:30] 特别让我震惊
[22:30-22:32] 就是我点开那些说我是理想型男友的评论
[22:34-22:36] 我发现很多都是男的
[22:38-22:40] 都是男的在那说
[22:40-22:42] 这是我的理想型男友
[22:42-22:44] 当时我很震惊
[22:44-22:46] 我说我应该不是这个赛道的
[22:56-22:58] 后来我就想
[22:58-23:00] 我就想只有一种解释
[23:00-23:02] 就是这个可能就是男人给女人做的一个局
[23:06-23:08] 通过我来实现理想型男友的评论
[23:08-23:10] 我发现
[23:10-23:12] 通过我来实现理想型男友的通货膨胀
[23:14-23:16] 做空男友市场
[23:18-23:20] 最终实现女性的集体消费降级
[23:28-23:30] 真的就是你想想
[23:30-23:32] 如果你把我真的当成理想型
[23:32-23:34] 扭头再看看自己的男朋友
[23:36-23:38] 是不是突然就顺眼了很多
[23:38-23:40] 我发现了一个男人最好的英美
[23:48-23:50] 而且我仔细去看了一些关于女生的评论
[23:52-23:54] 也很含蓄
[23:54-23:56] 委婉
[23:56-23:58] 好希望自己的男朋友也有自身这样的灵魂
[24:02-24:04] 好喜欢自身这样的内在
[24:04-24:06] 大家发现了没有
[24:06-24:08] 我就是想要我的灵魂
[24:08-24:10] 没人想要我的身体
[24:10-24:12] 我说这个不会就是大家说的
[24:12-24:14] 唇爱了吧
[24:14-24:16] 好吧讲到这里啊大家
[24:16-24:18] 我是智盛
[24:20-24:22] 最近经常会有人问我一个问题
[24:22-24:24] 说智盛你为什么总是看起来
[24:24-24:26] 这么快乐
[24:26-24:28] 我说可能就是因为我
[24:28-24:30] 笑起来特别夸张吧
[24:32-24:34] 我这样都只是我在微笑
[24:36-24:38] 就是我在那儿站着不动都会有人
[24:38-24:40] 过来问我说智盛你在这儿乐啥了
[24:44-24:46] 我真的就是傻了
[24:46-24:48] 因为我小时候家庭条件也不好
[24:48-24:50] 我家是二十二岁才装的空调
[24:50-24:52] 夏天真的很热
[24:52-24:54] 你也没什么办法你去游泳水深
[24:54-24:56] 在外面火热
[25:00-25:02] 有一次给几个伙伴在外面
[25:02-25:04] 热得受不了了
[25:04-25:06] 我就突然产生了一个想法
[25:06-25:08] 我说这么热咱们不如就
[25:08-25:10] 跑起来
[25:10-25:12] 跑起来就有风
[25:12-25:14] 有风不就凉快了吗
[25:14-25:16] 真的大家听了
[25:16-25:18] 可兴奋了跑得可快了
[25:18-25:20] 跑起来是真凉快
[25:20-25:22] 但停下来是真热呀
[25:22-25:24] 所以就得一直跑
[25:24-25:26] 有个小孩都
[25:26-25:28] 热懵了给我说说智盛
[25:28-25:30] 我头疼我是不是中暑了
[25:30-25:32] 我说不你应该是
[25:32-25:34] 早凉了
[25:40-25:42] 我一直以为我们越跑越热
[25:42-25:44] 是因为跑得还不够快
[25:44-25:46] 直到上了高中我才明白这个动能
[25:46-25:48] 转化的风能它就是要产生
[25:48-25:50] 热的呀
[25:50-25:52] 越跑越凉它都不符合能量守核定律
[25:54-25:56] 你一旦听说之后跟我说说
[25:56-25:58] 你就是傻
[25:58-26:00] 你就应该在那别动
[26:00-26:02] 别动你跑
[26:10-26:12] 真的我听完我说还是你见过
[26:12-26:14] 电风扇啊
[26:22-26:24] 能想出来这么缺德的主意
[26:24-26:26] 我再仔细想了想
[26:26-26:28] 我说这不就是我给它打工的
[26:28-26:30] 这也不算是变态嘛
[26:30-26:32] 我们努力奔跑
[26:32-26:34] 李旦生活美好
[26:34-26:36] 我们跑了五年李旦狂狂数钱
[26:36-26:38] 我们跑得拼了命
[26:38-26:40] 李旦说今天晚上喝得不尽兴
[26:40-26:42] 关键是它还在那
[26:42-26:44] 跑得快的排个凳
[26:44-26:46] 跑不动的换个人
[26:46-26:48] 这是什么能量守核
[26:48-26:50] 把我们的动能全转化成它的无能
[26:54-26:56] 有人就问说自身的能量
[26:56-26:58] 是否能够比人的能量守核
[26:58-27:00] 更强
[27:00-27:02] 这就是我们的能量守核
[27:02-27:04] 我们的能量守核
[27:04-27:06] 我们的能量守核
[27:06-27:08] 我们的能量守核
[27:08-27:10] 有人就问说自身
[27:10-27:12] 你们老这么跑身体受得了吗
[27:12-27:14] 我说没事 幸好我们有
[27:14-27:16] 经典超绿牛奶
[27:18-27:20] 六克原生钢蛋白
[27:20-27:22] 一瓶牛奶 两倍营养
[27:22-27:24] 喝完还能接着跑
[27:24-27:26] 但我还是挺珍惜的
[27:26-27:28] 我这个普通话能念商务
[27:28-27:30] 已经很不容易了
[27:30-27:32] 真的 我就给大家聊聊我的普通话
[27:32-27:34] 就我这个普通话这么不好
[27:34-27:36] 要追溯到我的小学
[27:38-27:40] 因为我的小学允老师
[27:40-27:42] 他不是正规的示范学校毕业
[27:42-27:44] 他是在我们小学毕业
[27:46-27:48] 然后就留校任教了
[27:52-27:54] 所以他自己也没有学过拼音
[27:54-27:56] 他教我们拼音全是靠着自己的理解教
[27:58-28:00] 他在教我们这个平俏舌的时候
[28:00-28:02] 就是这个支持师和支持师的时候
[28:02-28:04] 就是这样的说
[28:04-28:06] 来来来 同学们同学们
[28:06-28:08] 我们今天来学习一下这个巧摄影
[28:10-28:12] 学习这个巧摄影
[28:12-28:14] 你首先要把这个石头卷起来
[28:16-28:18] 就把这个石头卷起来
[28:18-28:20] 他们发这个巧摄影
[28:20-28:22] 而且我们老师他只要把石头卷起来
[28:22-28:24] 轻易就不会翻了
[28:24-28:26] 所以我们老师他就把石头卷起来
[28:26-28:28] 就把这个石头卷起来
[28:28-28:30] 他就把这个石头卷起来
[28:30-28:32] 所以我们老师他就把这个石头卷起来
[28:32-28:34] 轻易就不会放下了
[28:38-28:40] 真的 我虽然普通话不好
[28:40-28:42] 但我大学是辩论队的
[28:46-28:48] 那个时候每个就是在学院的
[28:48-28:50] 当时是每个班都要组一个辩论队
[28:50-28:52] 最少四个人用班报名三个人
[28:52-28:54] 班长应要我去参加
[28:54-28:56] 我说你疯了
[28:56-28:58] 我这么说话你们都听不清楚
[28:58-29:00] 他说对啊
[29:00-29:02] 你想我们听不清楚
[29:02-29:04] 是不是对方也听不清楚
[29:08-29:10] 然后我当时第一次辩论
[29:10-29:12] 我是二辩
[29:12-29:14] 普通话贼不好
[29:14-29:16] 但我声音贼大
[29:16-29:18] 气势贼足就给对方一种感觉
[29:18-29:20] 就是他说的好像很有道理
[29:20-29:22] 但就是听不清他说了啥
[29:24-29:26] 你的对方二辩只能站起来说
[29:26-29:28] 请你站起来再说一遍
[29:28-29:30] 我说二辩 我是二辩 不说一遍
[29:40-29:42] 真的很怀念以前没有空调
[29:42-29:44] 说的不标准普通话的日子
[29:44-29:46] 现在的日子我也很珍惜
[29:46-29:48] 快乐其实真的很简单
[29:48-29:50] 但普通话太难了 谢谢大家
[29:50-29:52] 哎呀
[29:52-29:54] 哥哥 对不起啦
[30:00-30:02] 真的 去年啊
[30:02-30:04] 我最火的两个梗 一个是刘海
[30:04-30:06] 一个就是陆涵
[30:06-30:08] 今年刘海没了
[30:08-30:10] 陆涵来了
[30:12-30:14] 所以我今天我就想问问
[30:14-30:16] 吴宇 陆涵 苏美
[30:20-30:22] 真的啊 就是撑如寒
[30:22-30:24] 快乐不止五分钟啊
[30:24-30:26] 现在很多人都好奇说
[30:26-30:28] 自身你每天都这么开心
[30:28-30:30] 能搞好喜剧吗
[30:30-30:32] 不都说喜剧的那一盒是悲剧吗
[30:32-30:34] 我说 我也没搞过喜剧的那一盒呀
[30:34-30:36] 我这天天就等喜剧的外壳了
[30:36-30:38] 无盒喜剧
[30:40-30:42] 我说 我也没搞过喜剧的那一盒呀
[30:42-30:44] 我这天天就等喜剧的外壳了
[30:44-30:46] 无盒喜剧
[30:46-30:48] 我说 我也没搞过喜剧的那一盒呀
[30:48-30:50] 对
[30:50-30:52] 我就特别喜欢这种纯粹的快乐
[30:52-30:54] 这种就是小时候那种快乐
[30:54-30:58] 因为当时和一群小孩天天就在那里想当盖世英雄
[30:58-31:00] 看完色调英雄战
