[00:00-00:01] 技能五子棋
[05:16-05:18] 擒住天地之精华
[05:18-05:20] 拿的老师笑哈哈
[05:20-05:21] 你是变态吗
[05:21-05:22] 我赢了
[05:22-05:23] 怎么赢
[05:23-05:24] 问得好
[05:24-05:25] 技能
[05:25-05:27] 调城离山
[05:27-05:28] 调城离山
[05:28-05:29] 古名思义
[05:29-05:31] 就是调走张诚
[05:31-05:32] 离开山
[05:32-05:33] 动
[05:33-05:35] 狗屁股
[05:35-05:36] 冲
[05:43-05:45] 怎么样
[05:45-05:47] 这可是我跟我校长
[05:47-05:48] 在这儿玩的
[05:48-05:50] 这可是我跟我校长的
[05:50-05:51] 双人组合技
[05:51-05:52] 厉害吧
[05:52-05:53] 二打一算什么
[05:53-05:54] 我要求跟你单挑
[05:54-05:55] 那我们只能合体了
[05:55-05:57] 别合体啊
[05:57-05:58] 滚
[06:02-06:04] 骂中了
[06:04-06:05] 不是
[06:05-06:05] 我不是那意思
[06:05-06:07] 我情绪上
[06:07-06:09] 我情绪上有点
[06:09-06:10] 老
[06:10-06:11] 你骂老人
[06:14-06:16] 你是老人
[06:16-06:17] 又走了吗
[06:18-06:19] 张诚
[06:19-06:21] 我要报仇
[06:21-06:23] 力拔山西
[06:24-06:25] 那我
[06:26-06:28] 东山再起
[06:31-06:33] 什么
[06:33-06:35] 你居然轻易破解了
[06:35-06:38] 我的超杀必胜技
[06:39-06:40] 你小子是不是骂人了
[06:40-06:41] 刚才
[06:44-06:45] 更可怕的是
[06:46-06:48] 居然创造新词
[06:48-06:50] 这可是最重要
[06:50-06:53] 我只是参加过九年义务教宴
[06:59-07:00] 怎么样
[07:00-07:00] 没招了吧
[07:00-07:01] 你别叫我还有
[07:01-07:03] 我用你们的方式也能赢
[07:03-07:03] 快出来了
[07:03-07:06] 你已经输了
[07:06-07:07] 你想不出来的
[07:07-07:08] 老师让一下
[07:10-07:11] 你把我的气死扫掉了
[07:11-07:13] 你就是他老师吧
[07:13-07:14] 我是包街
[07:16-07:17] 你就是他老师
[07:17-07:18] 聪明
[07:18-07:20] 我这招叫保洁上门
[07:20-07:20] 别动
[07:20-07:22] 我这是新裤子
[07:22-07:24] 你你要跳舞吗
[07:28-07:29] 不是
[07:29-07:31] 老师
[07:31-07:33] 你想到哪句说哪句
[07:33-07:34] 你身为他的老师
[07:34-07:35] 你说这些你还有失德吗
[07:35-07:36] 来 你看这一题
[07:36-07:37] 假装听不见也不行
[07:37-07:38] 还有你
[07:38-07:39] 笑什么
[07:39-07:41] 我告诉你
[07:41-07:41] 吴子歧的真谛
[07:41-07:43] 就不在你们手上
[07:43-07:44] 你们只不过打着
[07:44-07:44] 吴子歧的名号
[07:44-07:46] 在招摇撞骗罢了
[07:46-07:48] 你们就不配下吴子歧
[07:58-08:00] 你这个畜生
[08:10-08:12] 根本就不懂王教练
[08:12-08:14] 你根本不懂吴子歧
[08:15-08:17] 看来今天咱们是夺人
[08:17-08:19] 必须给他一点教训
[08:19-08:20] 子歧
[08:20-08:21] 嗯
[08:21-08:22] 来啊
[08:22-08:24] 我必须要当全国第一
[08:24-08:25] 就算用你们的方式
[08:25-08:26] 我也能赢
[08:26-08:27] 如果你下棋
[08:27-08:28] 就是为了赢的话
[08:28-08:29] 那你和那些下棋的
[08:29-08:31] 有什么区别
[08:31-08:32] 我就是下棋的
[08:32-08:34] 你就是个下棋的
[08:34-08:35] 那你就是个下棋的
[08:35-08:37] 你这辈子别跟我说话啊你
[08:37-08:38] 来
[08:38-08:40] 请
[08:40-08:41] 飞沙走石
[08:41-08:41] 是
[08:41-08:43] 石精不昧
[08:43-08:44] 是
[08:44-08:45] 那我
[08:45-08:46] 进入之水
[08:46-08:47] 嘿
[08:48-08:50] 水滴石川
[08:50-08:51] 嘚嘚嘚嘚
[08:51-08:52] 这个好
[08:52-08:53] 这个不好
[08:53-08:54] 那就别怪我了
[08:54-08:55] 立法审刑
[08:56-08:57] 怎么样
[08:57-08:59] 就算是你们制定的规则
[08:59-09:00] 我也可以赢
[09:03-09:03] 什么意思
[09:03-09:04] 三
[09:04-09:06] 两击翻转
[09:06-09:07] 二
[09:15-09:16] 什么
[09:20-09:22] 这是什么
[09:22-09:24] 长城
[09:24-09:26] 通过你的黑历史
[09:26-09:29] 让你丧失战斗力
[09:29-09:31] 你们是什么时候找的
[09:31-09:33] 从你刚进门的时候你说
[09:33-09:34] 有人吗
[09:34-09:35] 怎么没人
[09:35-09:35] 有人
[09:35-09:37] 到时候就已经找到了
[09:39-09:41] 怎么还是赢不了你们
[09:41-09:42] 赢不了
[09:42-09:43] 赢不了
[09:43-09:44] 赢不了
[09:44-09:46] 对不起 王教练
[09:46-09:48] 让您蒙羞了
[09:48-09:50] 张诚
[09:50-09:52] 站起来
[09:52-09:53] 教练
[09:53-09:54] 您怎么来了
[09:54-09:56] 我坐高铁来的
[09:56-09:57] 我没问您这个
[09:58-10:00] 技能五
[10:00-10:02] 你太过分了
[10:02-10:05] 你把我徒弟当臭狗一样玩耍
[10:06-10:08] 王金宝
[10:08-10:10] 我已恭候你多时
[10:10-10:12] 技能五
[10:12-10:14] 踏实高马踏实
[10:14-10:15] 瞎棋了你
[10:17-10:19] 圣天伴子
[10:19-10:21] 王金宝
[10:21-10:23] 技能五子
[10:23-10:24] 张技能五
[10:24-10:25] 姓张吗
[10:27-10:28] 行
[10:30-10:31] 你们输定了
[10:31-10:32] 我教练是职业棋手
[10:32-10:34] 他的技能才叫真正的
[10:34-10:36] 手刀
[10:37-10:38] 这是什么技能
[10:38-10:40] 徐姓自示吗
[10:40-10:41] 无妨
[10:42-10:43] 张诚
[10:44-10:47] 你不是只想赢吗
[10:47-10:49] 如你所愿
[10:55-10:56] 这
[10:56-10:58] 这还能称之为
[10:58-10:59] 吴子棋吗
[10:59-11:01] 老师
[11:02-11:04] 子棋
[11:04-11:07] 刚才王金宝的那招
[11:07-11:08] 见你了
[11:09-11:13] 打得为师屁滚尿流
[11:13-11:14] 但是为师很开心
[11:14-11:15] 你开心吗
[11:15-11:17] 我也很开心
[11:17-11:18] 你开心个屁啊
[11:18-11:19] 他都要被我教练打死了
[11:19-11:20] 子棋
[11:20-11:22] 你要记住
[11:22-11:23] 我所相信的你
[11:23-11:24] 就是你所相信的你
[11:24-11:26] 你自己再加上我们所有人
[11:26-11:28] 都在用美团团攻
[11:28-11:29] 我记住了
[11:29-11:32] 这一点必须牢记
[11:32-11:34] 孩子
[11:34-11:35] 你过来
[11:35-11:36] 老师
[11:36-11:38] 他叫你过来
[11:38-11:40] 你把他说A死了
[11:40-11:41] 老师
[11:41-11:42] 老师 你没事吧
[11:43-11:44] 孩子
[11:44-11:45] 你现在明白
[11:45-11:47] 吴子棋的真谛了吗
[11:48-11:50] 吴子棋的
[11:50-11:51] 真谛
[11:51-11:54] 外练筋骨皮
[11:54-11:56] 练的是体魄
[11:56-11:58] 内练吴子棋
[11:58-11:59] 练的是快乐
[11:59-12:00] 你看
[12:00-12:03] 你下棋只为了赢
[12:03-12:04] 你的面相都变了
[12:04-12:06] 笑一个吧
[12:14-12:15] 超级爱好者的笑容
[12:15-12:16] 都没你
[12:16-12:17] 在天上八月正午的
[12:17-12:18] 别唱了
[12:19-12:20] 怎么了 老师
[12:20-12:20] 老师 怎么了
[12:20-12:21] 怎么样了
[12:22-12:23] 阿巴兹
[12:23-12:24] 什么呀
[12:24-12:25] 这是什么呀
[12:25-12:27] 老师
[12:27-12:28] 走
[12:28-12:30] 那他就是被你摔死的
[12:30-12:32] 你别说了
[12:32-12:33] 我说了
[12:33-12:35] 那他就是被你摔死的
[12:37-12:37] 对
[12:37-12:38] 快打电话叫救护车
[12:38-12:40] 你放音乐干吗呀
[12:40-12:42] 这是老师最爱的歌
[12:42-12:44] 他听歌他也活不了
[12:44-12:44] 真是
[12:44-12:46] 传统的吴子棋
[12:46-12:49] 就是把五个字念出来一条线
[12:49-12:50] 活了
[12:50-12:51] 好无聊
[12:51-12:53] 而体能吴子棋
[12:53-12:55] 就是在传统的吴子棋
[12:55-12:58] 加入技能好好玩
[12:58-12:59] 要爆了
[12:59-13:01] 体能吴子棋
[13:01-13:02] 被杀走尸
[13:02-13:04] 体能吴子棋
[13:04-13:05] 把山西
[13:07-13:08] 张诚
[13:08-13:09] 你多久没有在
[13:09-13:11] 下吴子棋的时候
[13:11-13:12] 又唱又跳了
[13:12-13:14] 没有人会在下吴子棋
[13:14-13:15] 你会
[13:15-13:16] 你仨会
[13:16-13:17] 就是把五个字念出来一条线
[13:17-13:20] 好无趣好无聊
[13:20-13:21] 而体能吴子棋
[13:21-13:24] 就是在传统的吴子棋
[13:24-13:26] 加入技能好好玩
[13:26-13:27] 要爆了
[13:27-13:29] 体能吴子棋
[13:29-13:30] 被杀走尸
[13:30-13:32] 体能吴子棋
[13:32-13:34] 里巴山西
[13:34-13:36] 体能吴子棋
[13:36-13:37] 被杀走尸
[13:37-13:39] 体能吴子棋
[13:39-13:41] 时光
[13:41-13:43] 倒流
[13:45-13:46] 太快乐了
[13:47-13:49] 你们快乐吗
[13:49-13:50] 快乐了
[13:50-13:50] 体能吴子棋
[13:50-13:52] 就是把五个字念出来一条线
[13:52-13:55] 好无趣好无聊
[13:55-13:57] 而体能吴子棋
[13:57-13:59] 就是在传统的吴子棋
[13:59-14:01] 加入技能好好玩
[14:01-14:02] 要爆了
[14:02-14:03] 体能吴子棋
[14:04-14:05] 棒棒小麦布
[14:09-14:12] 棒棒小麦布清仓大甩卖
[14:12-14:15] 营业最后一天全场6元
[14:15-14:17] 全场6元
[14:17-14:20] 棒棒小麦布清仓大甩卖
[14:20-14:22] 营业最后一天全场6元
[14:22-14:24] 全场6元
[14:24-14:25] 棒棒小麦布清仓大甩卖
[14:25-14:26] 清朝加成
[14:26-14:27] 来一下
[14:28-14:29] 店长
[14:29-14:29] 店长
[14:30-14:35] 自从对面开了这家马东来超市
[14:35-14:36] 我们棒棒小麦布的生意
[14:36-14:37] 就越来越差了
[14:37-14:39] 今天是我们最后一天营业
[14:39-14:41] 我们还剩下这些货
[14:41-14:42] 狂雷运动饮料
[14:42-14:43] 周小六钢笔
[14:43-14:45] 我们今天把它们全卖出去
[14:45-14:46] OK吧
[14:48-14:50] 加成你呼数一遍
[14:50-14:51] 就是把小雷饮料
[14:51-14:52] 狂打小六
[14:52-14:53] 好了你别说了
[14:53-14:55] 清朝你说
[14:55-14:55] 把六小零头
[14:55-14:57] 哪来的六小零头
[14:58-15:01] 你俩是不是觉得我还不够惨
[15:01-15:02] 店长我就直说了吧
[15:02-15:05] 我觉得你的销售方式太土了
[15:05-15:08] 是啊店长太土了
[15:08-15:09] 土逼No.1
[15:09-15:11] 行了
[15:11-15:12] 赶紧卖货
[15:13-15:16] 棒棒小麦布清仓大甩卖
[15:16-15:17] 全场6元
[15:17-15:19] 全场6元
[15:19-15:19] 把他杀了吧
[15:19-15:21] 把谁杀了
[15:21-15:23] 我听见了
[15:23-15:24] 你俩不要再开玩笑了
[15:24-15:25] 赶紧卖货
[15:26-15:27] 什么
[15:27-15:29] 我想不出这种食 촉
[15:29-15:31] 我要的是两个
[15:38-15:39] 棒棒小麦
[15:41-15:42] 坏了
[15:45-15:46] 怎么了
[15:46-15:47] 累了
[15:47-15:48] 这就累了
[15:48-15:49] 试试这个
[15:50-15:51] 干吗呢
[15:53-15:53] 我胃·个豆
[15:53-15:54] 这是什么
[15:54-15:55] 真好喝
[15:55-15:56] 你们俩这是
[15:56-15:57] 荒蕾
[15:57-15:59] 行为艺术
[15:59-15:59] 天哪
[15:59-16:04] 这个就是我们昨天熬夜研究出来的一套现场广告
[16:04-16:05] 现场广告
[16:05-16:05] 问好
[16:05-16:07] 传统的电视广告
[16:07-16:10] 人与产品之间总会隔着一层冰冷的玻璃
[16:10-16:13] 而现场广告就是击碎这层玻璃
[16:13-16:17] 所以你们俩昨天熬了一夜就想出这个
[16:17-16:18] 嗯
[16:18-16:19] 行
[16:19-16:20] 只要能卖出这货就行
[16:20-16:22] 包在我们身上店长
[16:22-16:23] 嗯
[16:23-16:24] 有顾客来了
[16:24-16:25] 准备一下
[16:25-16:25] 加成
[16:25-16:26] 嗯
[16:27-16:28] 怎么了
[16:28-16:29] 累了
[16:29-16:30] 这就累了
[16:30-16:31] 试试这个
[16:35-16:36] 好
[16:36-16:36] 好
[16:36-16:37] 好
[16:37-16:38] 好
[16:38-16:39] 好
[16:39-16:40] 好
[16:40-16:40] 好
[16:40-16:41] 好
[16:41-16:42] 好
[16:42-16:43] 好
[16:43-16:43] 好
[16:54-16:55] 窝窝窝
[16:55-16:56] 来 arrive
[16:56-16:57] 你out了
[16:57-16:58] 你out了
[16:58-17:00] 星场刚才顾客看着你的时候
[17:00-17:01] 你得推销
[17:01-17:02] 你要说话呀
[17:02-17:03] 呀
[17:03-17:03] 哎
[17:03-17:04] 店长先别骂了
[17:04-17:05] 又有人来了
[17:05-17:06] 好好表现啊
[17:06-17:06] 加成
[17:06-17:08] 嗯
[17:08-17:08] 哎呀
[17:08-17:09] 好烛23
[17:09-17:10] 怎么了
[17:10-17:10] 累了
[17:10-17:11] 这就累了
[17:11-17:12] 试试这个
[17:13-17:15] 哎 这个多少钱一瓶啊
[17:15-17:16] 我来个逗 这是什么
[17:16-17:17] 会砸他
[17:17-17:19] 你out了 黄磊运动饮料
[17:19-17:21] 爆发你的洪荒之力
[17:21-17:22] 哎 这个到底多少钱一瓶啊
[17:22-17:24] 再来一圈 等等我
[17:24-17:25] 哈哈哈哈
[17:25-17:27] 你滚啊
[17:27-17:28] 我退不过来
[17:28-17:30] 你滚呐
[17:30-17:31] 黄磊
[17:31-17:33] 融入了
[17:33-17:34] 哈哈哈哈
[17:34-17:35] 哎 这个到底多少钱一瓶啊
[17:35-17:37] 六块钱 谢谢
[17:37-17:38] 哎呦 我没带那么多钱
[17:38-17:39] 你是穷光蛋吗
[17:39-17:40] 好好跟人家说啊
[17:40-17:42] 哈哈哈哈
[17:42-17:44] 我只有三块
[17:44-17:45] 那这样
[17:45-17:46] 干嘛呀
[17:46-17:47] 第二口半价
[17:47-17:48] 谁会要啊
[17:48-17:49] 谢谢
[17:49-17:50] 要了
[17:50-17:52] 你啊 真是个坐享其成的
[17:52-17:53] 大资本家呀
[17:53-17:55] 哈哈哈哈
[17:55-17:56] 不然 啊
[17:56-17:57] 不是
[17:57-17:58] 店长
[17:58-18:00] 花你了
[18:00-18:02] 店长 好像放学了
[18:02-18:03] 我有一计
[18:03-18:04] 咱们现在就卖
[18:04-18:06] 周小六钢笔
[18:06-18:07] 这个时间
[18:07-18:08] 这个地点
[18:08-18:09] 靠谱
[18:09-18:10] 加成
[18:10-18:10] 啊
[18:10-18:12] 怎么还是这音乐啊
[18:12-18:13] 怎么了
[18:13-18:13] 累了
[18:13-18:14] 又累了
[18:14-18:15] 这就累了
[18:15-18:16] 试试这个
[18:16-18:18] 不是 钢笔怎么试呀
[18:18-18:19] 哎 不要喝钢笔啊
[18:19-18:20] 磨了个洞
[18:20-18:20] 这是什么
[18:20-18:21] 这是钢笔
[18:21-18:22] 你out了
[18:22-18:23] 周小六钢笔
[18:23-18:24] 爆发你的
[18:24-18:25] 洪荒之力
[18:25-18:27] 不是 钢笔怎么爆发呀
[18:27-18:28] 啊
[18:28-18:29] 真好
[18:30-18:32] 真好 我真累了
[18:32-18:33] 你这个商品的广告
[18:33-18:36] 它跟商品的使用不搭嘎呀
[18:36-18:37] 店长
[18:37-18:37] 您的意思是
[18:37-18:38] 商品的广告
[18:38-18:40] 得和商品的使用
[18:40-18:40] 搭嘎
[18:40-18:42] 哈哈哈哈
[18:42-18:44] 不然呢
[18:44-18:44] 我明白了
[18:44-18:45] 加成
[18:45-18:45] 啊
[18:46-18:47] 加成
[18:47-18:48] 你怎么可以欺骗小美
[18:48-18:49] 换句行了
[18:49-18:51] 哈哈哈哈
[18:51-18:53] 我只是和他玩玩吧
[18:53-18:56] 没想到他当真了 兄弟
[18:56-18:57] 渣男
[18:57-18:58] 可恶
[18:58-18:59] 哎
[18:59-19:00] 对不起 对不起
[19:00-19:01] 对不起 对不起
[19:01-19:02] 哈哈哈哈
[19:02-19:04] 哈哈哈哈
[19:04-19:07] 哈哈哈哈
[19:07-19:08] 我来个洞 真锋利
[19:08-19:10] 锋利有个屁用啊
[19:10-19:11] 钢笔就不能这么卖
[19:11-19:13] 这是学校门口
[19:13-19:14] 钢笔是用来写字的呀
[19:14-19:15] 学校门口
[19:15-19:16] 写字
[19:16-19:17] 我明白了
[19:17-19:18] 加成
[19:18-19:19] 啊
[19:19-19:20] 你晃什么呢
[19:20-19:22] 大老虎是周星伦
[19:22-19:23] 你谁
[19:23-19:24] 捷德老师
[19:24-19:25] 给我签个名
[19:25-19:26] 你挺配合他
[19:26-19:27] 妈没水啊
[19:27-19:29] 什么没水啊
[19:29-19:29] 不如试试
[19:29-19:30] 我这个
[19:32-19:33] 不错
[19:33-19:37] 我那个
[19:37-19:39] 走向流甘
[19:39-19:40] 别唱了
[19:43-19:44] 我是周星伦
[19:44-19:47] 你是臭狗屎
[19:47-19:48] 但你得上清明
[19:48-19:49] 赶紧滚回来
[19:52-19:54] 我就不该让你们两个卖货
[19:54-19:54] 咱们这样啊
[19:54-19:55] 直接关门
[19:55-19:56] 店长
[19:56-19:56] 别
[19:56-19:58] 我们还准备了一段歌剧
[19:58-19:59] 不要
[19:59-20:01] 没水了
[20:01-20:01] 加成
[20:01-20:03] 没水了
[20:03-20:05] 试试这个
[20:05-20:06] 谢谢
[20:06-20:07] 好似花
[20:07-20:07] 我
[20:07-20:08] 累
[20:09-20:10] 这是什么刚逼
[20:10-20:11] 啊
[20:11-20:12] 周晓柳刚逼
[20:12-20:13] 咱们卸豆有水
[20:13-20:15] 周晓柳刚逼
[20:15-20:16] 啊
[20:16-20:17] 要买级刚逼吗
[20:19-20:21] 我要起诉你们
[20:24-20:25] 我这个豆啊
[20:25-20:25] 甩这么远
[20:25-20:26] 别甩了
[20:26-20:27] 我这个大豆啊
[20:27-20:29] 你甩关就往脸上了
[20:29-20:30] 我这个李豆豆啊
[20:30-20:31] 谁是李豆豆
[20:33-20:34] 星成你不要再说我这个豆了
[20:34-20:36] 这梗很老啊
[20:36-20:37] 可是店长
[20:37-20:38] 我如果不说我这个豆的话
[20:38-20:39] 那我这包我这个豆
[20:39-20:40] 就卖不出去了
[20:40-20:42] 真有我这个豆啊
[20:48-20:49] 我明白了
[20:49-20:51] 你们俩趁着店快倒闭了
[20:51-20:52] 偷偷卖自己东西
[20:52-20:53] 是不是
[20:53-20:54] 张清潮
[20:54-20:54] 好了
[20:54-20:56] 店长
[21:09-21:10] 有声没事吧他
[21:15-21:18] 我们真的很喜欢这家小卖部
[21:19-21:21] 一直把这儿
[21:21-21:23] 当成自己的家
[21:24-21:25] 这只店要倒闭
[21:25-21:27] 我们就自作主张
[21:27-21:28] 偷偷进了一批
[21:29-21:30] 我这个豆
[21:34-21:35] 你们哪来的钱啊
[21:35-21:37] 从你店里面偷的
[21:38-21:39] 店长
[21:39-21:42] 只要把这批我这个豆卖出去
[21:42-21:44] 真的能救咱们的家呀
[21:46-21:48] 你们应该跟我说实话的
[21:48-21:49] 你别说了
[21:49-21:51] 他太帅了是不会明白的
[21:53-21:54] 我要说
[21:54-21:56] 我要说
[21:56-21:57] 快说
[21:59-22:01] 这些个豆子呀
[22:01-22:03] 净价两毛
[22:03-22:05] 售价却高达五十
[22:05-22:07] 好黑啊
[22:07-22:08] 而且张清潮
[22:08-22:09] 还能吃不少回扣
[22:09-22:10] 你好黑啊
[22:10-22:12] 你别说了
[22:14-22:15] 你也别说了
[22:15-22:16] 我没说
[22:16-22:17] 我这个豆
[22:17-22:18] 天天吃回扣
[22:22-22:23] 没什么呀
[22:23-22:25] 天天吃回扣吧
[22:25-22:26] 没什么呀
[22:28-22:29] 别演了
[22:35-22:36] 我刚刚都被你俩感动了
[22:36-22:38] 搞了半天还是广告
[22:38-22:40] 你们这么纯准的欺骗我感情吧
[22:44-22:46] 你是光拍手不洗脸啊
[22:48-22:50] 你们二位真诚的羁绊
[22:50-22:51] 打动了我
[22:51-22:53] 阻止我去门头扣中级人民法院
[22:53-22:55] 起诉你们的脚步
[22:56-22:58] 你到底是谁呀
[22:58-22:59] 自我介绍一下
[22:59-23:01] 我就是沃雷格豆的老总
[23:01-23:03] 我的名字叫土里格豆
[23:03-23:04] 土里格豆
[23:06-23:07] 土里格豆
[23:09-23:11] 十六年前
[23:11-23:12] 我也和你们两个一样
[23:12-23:14] 和我的搭档一同
[23:14-23:16] 靠演广告卖货
[23:22-23:23] 这就累了
[23:23-23:24] 试试这个
[23:26-23:27] 你俩没配合好
[23:27-23:28] 我不认识他
[23:29-23:30] 那你是
[23:30-23:31] 马东来超市
[23:31-23:33] 开业大抽边
[23:34-23:35] 还没关门啊
[23:35-23:36] 过了啊
[23:39-23:40] 真实的商战就是这样
[23:40-23:40] 普通无误
[23:40-23:41] 你也过过啊
[23:42-23:43] 二位
[23:43-23:46] 我们公司正在招募销售经理
[23:46-23:47] 二位销售怪节
[23:47-23:49] 愿意加入我的团队吗
[23:49-23:50] 我们不愿意
[23:50-23:51] 听见了吧
[23:52-23:54] 别傻了李嘉诚
[23:54-23:56] 在这个地方待着
[23:56-23:57] 是会腐烂的
[23:57-23:59] 有那么夸张吗
[23:59-24:00] 我选择
[24:00-24:01] 退出棒棒小卖部
[24:03-24:05] 张星潮
[24:05-24:07] 你这个畜生
[24:07-24:08] 冷静
[24:11-24:12] 你没吃饭吗
[24:14-24:16] 没有啊
[24:20-24:21] 不是
[24:21-24:22] 你没有
[24:22-24:23] 你看我干啥
[24:23-24:24] 那试试
[24:24-24:25] 我来个豆吧
[24:26-24:28] 来劲了
[24:28-24:29] 好
